SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site12,BA,Sarajevo,0,0,0,0,0,0,0,0,0,0
site13,BE,Antwerp Deurne,27.69,21.64,20.65,44.39,44.64,27.55,25.28,24.87,34.31,30.26
site14,BE,Antwerp Zuid,59.67,46.54,43.79,51.44,147.02,102.34,57.35,54.52,86.15,72.59
site17,BE,Brussels,7.14,7.97,7.48,13.1,33.13,26.05,11.99,9.03,19.94,15.27
site18,BE,Geraardsbergen,4.32,,3.88,5.86,6.63,5.13,3.22,3.77,5.38,4.84
site19,BE,Koksijde,6,2.41,4.87,10.76,17.17,14.07,8.52,5.64,11.71,9.11
site21,BE,Ninove,4.82,5.26,8.15,14.08,18.02,19.67,6.74,5.61,14.98,10.96
site24,CH,Basel,10.43,8.91,11.68,29.88,46.34,24.96,29.43,16.26,28.21,23.09
site25,CH,Berne,13.81,8.42,49.75,31.26,52.55,25.83,12.2,11.48,39.85,27.69
site26,CH,Geneva,6.44,9.34,38.95,27.06,20.18,10.73,,7.89,24.23,18.78
site29,CH,St. Gallen Hofen,14.75,28.34,27.38,69.95,80.33,37.39,18.38,20.49,53.76,39.5
site30,CH,Zurich,16.33,12.66,13.95,53.32,113.66,62.65,27.52,18.84,60.89,42.87
site31,CY,Limassol,0.32,0.49,0.37,0.73,0.31,0.61,0.39,0.4,0.51,0.46
site32,CY,Nicosia,1.28,1.05,1.25,1.65,2.37,1.01,1.23,1.19,1.57,1.41
site34,CZ,Budweis,4.75,4.67,5.06,17.73,9.96,4.24,4.29,4.57,9.25,7.24
site37,CZ,Prague,8.83,9.07,19.18,48.14,38.68,16.59,12.81,10.24,30.65,21.9
site40,DE,Dortmund,0.95,0.88,8.52,20.81,28.68,23.02,13.42,5.09,20.26,13.75
site41,DE,Dresden,0,0,0,0,0,0,0,0,0,0
site42,DE,Dülmen,0.44,0.57,0.74,1.99,13.22,6.91,5.9,2.3,5.71,4.25
site54,DK,Copenhagen,9.98,8.05,23.88,10.81,48.12,26.22,,9.08,27.26,19.47
site55,ES,Barcelona,14.04,18.45,25.34,41.87,57,41.32,21.88,18.12,41.38,31.41
site56,ES,Castellon,0.39,0.4,4.17,10.43,9.27,13.47,6.9,2.56,9.33,6.43
site60,ES,Valencia (3),2.53,1.99,3.17,9.38,20.05,13.56,6.29,3.6,11.54,8.14
site62,FI,Helsinki,9.68,14.89,10.48,49.92,65.41,30.45,12.44,12.34,39.06,27.61
site85,FI,Turku,3.62,1.54,1.53,5.14,11.12,7.69,6.27,3.81,6.37,5.27
site90,FR,Paris Seine Centre,5.84,7.92,8.44,46.16,67.36,29.93,16.74,10.17,37.97,26.06
site93,GB,London,3.02,3.28,10.81,68.8,45.97,23.72,73.73,26.68,37.33,32.76
site94,GR,Athens,1.17,2.1,0.64,0.44,6.48,3.85,2.51,1.93,2.85,2.46
site98,HR,Zagreb,3.42,3.59,4.85,19.3,19.59,9.74,5.62,4.21,13.37,9.45
site101,IT,Milan,3.36,2.42,2.36,8.54,11.23,4.62,2.16,2.65,6.69,4.96
site107,NL,Amsterdam,53.52,55.16,36.02,144.84,82.91,129.86,122.45,77.04,98.41,89.25
site111,NL,Utrecht,57.55,58.01,78.79,107.83,123.9,95.89,59.84,58.46,101.6,83.11
site112,NO,Oslo,3.42,3.52,9.54,12.73,13.32,5.75,3.35,3.43,10.34,7.38
site115,PT,Lisbon,4.13,1.23,,6.15,7.45,5.14,4.98,3.45,6.24,4.85
site117,RO,Cluj Napoca,0,0,0,0,0,0,0,0,0,0
site118,RS,Belgrade,8.23,3.71,3.43,6.76,57.61,,9.15,7.03,22.6,14.81
site119,RS,Novi Sad,,7.88,4.02,5.72,9.04,5.97,9.94,8.91,6.19,7.09
site120,SE,Gothenburg,5.64,5.7,5.42,5.31,5.38,7.94,5.68,5.67,6.01,5.87
site125,SE,Umea,2.42,4.12,5.58,5.58,5.34,4.36,4.07,3.54,5.21,4.49
site133,SK,Bratislava (2),3.17,3.86,3.42,10.36,11.72,5.94,3.87,2.43,7.97,6.05
site134,SK,Piestany,0,0,0,0,0,0,0,0,0,0
