SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site12,BA,Sarajevo,26.15,36,40.77,80.77,55,71.92,56.31,39.49,62.12,52.42
site13,BE,Antwerp Deurne,98.61,124.28,102.98,157.75,120.06,90.16,131.83,118.24,117.74,117.95
site14,BE,Antwerp Zuid,180.1,180.25,190.51,166.19,202.24,180.84,195.63,185.33,184.95,185.11
site17,BE,Brussels,23.43,24.07,22.61,16.89,23.67,34.58,28.32,25.27,24.44,24.8
site18,BE,Geraardsbergen,0.49,,0.8,1.32,1.09,0.72,0.47,0.48,0.98,0.82
site19,BE,Koksijde,21.55,22.58,27.78,31.11,26.15,31.05,25.16,23.1,29.02,26.48
site21,BE,Ninove,90.05,85.15,85.33,129.57,129.62,78.41,185.48,120.23,105.73,111.94
site24,CH,Basel,45.53,45.8,14.77,27.92,56.55,22.42,24.21,38.51,30.42,33.89
site25,CH,Berne,22.01,15.58,28.43,17.12,19.93,16.25,14.11,17.23,20.43,19.06
site26,CH,Geneva,0,0,0,0,0,0,,0,0,0
site30,CH,Zurich,13.15,65.12,40.41,28.38,57.84,33.63,60.04,46.11,40.06,42.65
site31,CY,Limassol,1.98,1.99,2.22,1.49,1.21,1.12,1.81,1.93,1.51,1.69
site32,CY,Nicosia,3.77,4.02,2.83,2.76,3.6,3.65,2.73,3.51,3.21,3.34
site34,CZ,Budweis,19.95,18.66,23,22.86,20.97,19.09,19.74,19.45,21.48,20.61
site37,CZ,Prague,34.48,34.08,36.52,40.41,38.68,35.38,34.16,34.24,37.75,36.24
site40,DE,Dortmund,88.26,80.78,83.97,119.61,92.07,93.3,87.58,85.54,97.24,92.22
site41,DE,Dresden,0,0,0,0,0,0,0,0,0,0
site42,DE,Dülmen,50.16,66.48,61.71,91,60.07,59.01,51.54,56.06,67.94,62.85
site54,DK,Copenhagen,27.89,30.9,35.32,30.28,37.22,27.45,,28.08,32.57,30.64
site55,ES,Barcelona,16.22,20.27,20.97,23.56,27.99,22.48,16.29,17.59,23.75,21.11
site56,ES,Castellon,9.77,10.02,10.42,6.77,4.45,10.36,8.43,9.41,8,8.6
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),5.53,5.31,6.76,10.41,11.64,9.53,6.55,5.8,9.58,7.96
site62,FI,Helsinki,96.19,93.33,84.42,127.34,115.67,77.88,66.78,85.43,101.33,94.51
site85,FI,Turku,53.51,49.49,55.97,58.24,67.06,76.8,86.86,63.28,64.52,63.99
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site93,GB,London,0,0,0,0,0,0,0,0,0,0
site94,GR,Athens,17.91,17.07,15.21,14.69,12.03,16.53,18.92,17.97,14.62,16.05
site98,HR,Zagreb,4.06,6.65,7.95,14.01,15.83,12.45,9.04,6.58,12.56,10
site107,NL,Amsterdam,64.67,56.76,51.64,157.06,93.77,38.41,33.34,51.59,85.22,70.81
site111,NL,Utrecht,30.98,29.8,76.41,76.13,40,31.7,40.63,33.8,56.06,46.52
site112,NO,Oslo,52.51,46.6,76.33,77.15,69.48,61.76,64.07,54.39,71.18,63.99
site115,PT,Lisbon,0,0,,0,0,0,0,0,0,0
site117,RO,Cluj Napoca,0,0,0,0,0,0,0,0,0,0
site118,RS,Belgrade,17.94,20.71,9.44,17.01,16.79,,18.29,18.98,14.41,16.7
site119,RS,Novi Sad,,24.43,20.08,21.82,22.59,22.18,42.92,33.67,21.67,25.67
site120,SE,Gothenburg,210.62,266.44,224.18,134.7,244.57,227.33,199.5,225.52,207.69,215.33
site125,SE,Umea,13.22,21.43,32.68,39.58,30.93,48.85,23.23,19.3,38.01,29.99
site133,SK,Bratislava (2),12.92,15.42,14.6,16.69,19.41,18.85,18.14,10.01,18.27,16.58
site134,SK,Piestany,18.96,14.55,13.78,12.76,13.56,12.43,11.86,15.13,13.13,13.99
