SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site13,BE,Antwerp Deurne,58.4,50.36,66.2,55.67,53.19,108.31,46.56,36.25,65.93,62.67
site14,BE,Antwerp Zuid,128.1,122.37,113.82,92.8,81.8,176,167.87,139.45,116.11,126.11
site18,BE,Geraardsbergen,24.88,22.8,93.36,65.19,22.78,19.92,25.42,24.37,45.33,39.19
site21,BE,Ninove,30.06,47.3,105.92,49.92,33.84,28.89,24.92,34.09,47.42,45.84
site27,CH,Lausanne,95.89,74.98,126.33,215.27,117.84,73.62,113.64,94.84,133.27,116.8
site28,CH,Lugano,49.02,53.82,59.03,79.26,35.84,57.75,76.48,59.77,57.97,58.74
site38,DE,Berlin (4),48.64,49.43,48.1,66.43,64.78,56.69,63.16,53.74,59,56.75
site40,DE,Dortmund,80.6,72.39,82.75,84.67,65.82,42.63,92.77,81.92,68.97,74.52
site41,DE,Dresden,28.94,24.84,28.53,45.73,33,29.94,28.24,27.34,34.3,31.32
site42,DE,Dülmen,27.08,31.79,35.31,41.59,39.17,31.98,34.73,31.39,36.87,34.52
site49,DE,Munich Gut_Grosslappen,37.62,47.29,38.4,38.46,35.39,35.79,7.99,41.1,29.41,34.42
site54,DK,Copenhagen,0,0,0,0,0,0,0,0,0,0
site55,ES,Barcelona,188.32,173.49,176.5,159.77,137.68,119.83,204.56,188.79,148.45,165.74
site56,ES,Castellon,71.8,68.84,59.46,42.37,41.74,49.03,88.32,76.32,48.15,60.22
site59,ES,Santiago,96.44,75.16,72.09,71.82,60.06,90.87,81.48,84.36,73.71,78.27
site60,ES,Valencia (3),149.53,31.8,40.5,51.38,39.84,55.14,102.68,94.67,46.71,67.27
site90,FR,Paris Seine Centre,127.59,147.11,112.5,109.46,124.71,125.78,102.39,125.7,118.11,121.36
site94,GR,Athens,53.85,69.05,23.7,95.25,124.3,69,37.02,53.3,78.06,67.45
site98,HR,Zagreb,79.32,82.68,83.02,73.53,66.85,74.07,89.66,83.89,74.37,78.45
site101,IT,Milan,22.89,22.28,23.06,19.53,21.01,31.69,26.6,23.92,23.82,23.86
site107,NL,Amsterdam,545.09,313.77,307.25,273.45,360.36,,1016.3,625.05,313.68,469.37
site108,NL,Eindhoven,,83.09,76.01,125,70.52,110.87,89.79,86.44,95.6,92.55
site111,NL,Utrecht,111.72,69.03,67.19,,109.11,47.67,159.19,113.31,74.66,93.99
site112,NO,Oslo,0,0,0,0,0,0,0,0,0,0
site114,PT,Almada,54.98,49.06,35.07,26.52,54.93,50.01,44.8,49.61,41.63,45.05
