SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site13,BE,Antwerp Deurne,26.35,17.38,13.53,14.56,22.49,17.91,19.76,19.09,18.68,18.85
site14,BE,Antwerp Zuid,66.84,47.82,35.03,46.04,78.64,105.55,80.97,49.9,77.8,65.84
site17,BE,Brussels,8.54,5.73,5.03,7.76,19.3,26.81,17.71,6.43,17.89,12.98
site24,CH,Basel,5.51,4.52,3.95,3.46,26.08,38.24,20.52,4.66,22.07,14.61
site25,CH,Berne,3.96,3.76,3.65,15.53,25.48,51.4,30.73,3.79,30.79,19.22
site26,CH,Geneva,25.59,22.63,5.18,5.06,4.51,4.2,3.86,17.8,4.41,10.15
site29,CH,St. Gallen Hofen,,7.25,8,7.59,49.13,47.72,,7.63,34.81,23.94
site30,CH,Zurich,25.99,4.32,4.07,4.3,44.8,122.15,65.61,11.46,59.22,38.75
site34,CZ,Budweis,8.3,15.82,11,5.18,11.12,7.82,12.03,11.71,9.04,10.18
site37,CZ,Prague,7.01,7.7,14.78,11.85,10.46,9.83,5.15,9.83,9.32,9.54
site55,ES,Barcelona,14.64,11.75,10.06,16.47,35.78,46.24,58.37,12.15,39.22,27.62
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,2.4,1.51,4.03,5.04,5.42,10.43,6.5,2.65,6.85,5.05
site62,FI,Helsinki,7.65,5.15,6.92,5.84,22.98,38.87,14.58,6.57,20.57,14.57
site85,FI,Turku,0,0,0,0,0,0,0,0,0,0
site98,HR,Zagreb,2.66,2.15,2.35,2.89,9.52,21.3,12.67,2.39,11.59,7.65
site101,IT,Milan,3.57,4.23,4.21,8.55,14.4,16.27,9.91,4.01,12.28,8.74
site107,NL,Amsterdam,94.68,50.31,54.52,58.01,122.47,227.51,91.4,66.5,124.84,99.84
site111,NL,Utrecht,138.89,79.22,67.88,96.54,179.92,370.64,199.92,95.33,211.75,161.86
site112,NO,Oslo,10.38,5.9,3.62,10.85,23.01,,9.82,6.63,14.56,10.6
site120,SE,Gothenburg,0,0,0,0,0,0,0,0,0,0
site125,SE,Umea,0,0,0,0,0,0,0,0,0,0
