SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site13,BE,Antwerp Deurne,353.69,341.26,256.28,341.48,350.08,282.02,284.58,317.08,314.54,315.63
site14,BE,Antwerp Zuid,741.87,655.67,577.36,729.08,805.5,819.61,865.23,658.3,804.86,742.05
site17,BE,Brussels,151.11,138.08,158.39,197.5,235.13,253.17,176.96,149.2,215.69,187.19
site24,CH,Basel,298.61,261.85,268.6,261.92,352.94,303.48,221.15,276.35,284.87,281.22
site25,CH,Berne,224.03,254.17,280.74,323.6,265.48,278.24,232.25,252.98,274.89,265.5
site26,CH,Geneva,502.62,361.07,279.45,272.61,276.88,325.43,370,381.05,311.23,341.15
site29,CH,St. Gallen Hofen,144.74,203.1,203.51,246.13,305.08,266.08,188.53,183.78,251.45,222.45
site30,CH,Zurich,368.23,397.78,368.17,423.77,526.25,552.99,420.82,378.06,480.96,436.86
site34,CZ,Budweis,5.27,6.89,5.79,3.16,5.38,4.81,5.47,5.98,4.71,5.25
site37,CZ,Prague,36.03,42.11,39.41,51.66,68.85,65,35.35,39.18,55.22,48.34
site55,ES,Barcelona,338.01,380.4,382.59,344.38,472.6,470.88,415.26,367,425.78,400.59
site56,ES,Castellon,230.74,219.69,206.14,276.78,376.59,375.65,155.14,218.86,296.04,262.96
site59,ES,Santiago,173.67,99.01,161.54,256.91,319.24,390.46,278.99,144.74,311.4,239.97
site62,FI,Helsinki,5.72,4.78,5.9,4.92,12.04,19.96,11.57,5.47,12.12,9.27
site85,FI,Turku,0,0,0,0,0,0,0,0,0,0
site90,FR,Paris Seine Centre,128.33,159.92,122.4,184.89,264.64,356.31,291.42,136.88,274.32,215.42
site98,HR,Zagreb,53.76,53.52,61.82,58.94,103.36,96.16,61.02,56.37,79.87,69.8
site101,IT,Milan,193.5,229.53,210.11,241.82,286.37,274.6,256.32,211.05,264.78,241.75
site107,NL,Amsterdam,557.51,627.75,584.19,636.9,766.21,951.28,429.58,589.82,695.99,650.49
site108,NL,Eindhoven,312.57,328.94,213.57,395.51,360.66,465.02,372.54,285.03,398.43,349.83
site111,NL,Utrecht,295.55,291.57,274.72,348.79,456.43,431.43,314.87,287.28,387.88,344.77
site112,NO,Oslo,95.64,89.94,63.52,123.78,149.98,,55.22,83.03,109.66,96.35
site120,SE,Gothenburg,17.74,16.86,18.3,23.98,36.11,42.75,21.33,17.63,31.04,25.3
site125,SE,Umea,0,0,0,0,0,0,0,0,0,0
