SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site13,BE,Antwerp Deurne,64.99,82.55,55.12,54.65,62.6,32.8,48.41,67.55,49.61,57.3
site14,BE,Antwerp Zuid,128.85,131.03,116.29,134.51,130.78,90.72,140.75,125.39,124.19,124.7
site17,BE,Brussels,89.51,63.47,61.68,65.17,82.89,75.01,74.05,71.55,74.28,73.11
site34,CZ,Budweis,58.09,72.77,58.44,30.66,53.08,51.15,70.36,63.1,51.31,56.36
site37,CZ,Prague,62.87,63.28,67.32,57.34,57.3,59.64,64.15,64.49,59.61,61.7
site55,ES,Barcelona,85.17,87.43,86.53,92.31,65.87,56.52,75.81,86.38,72.63,78.52
site56,ES,Castellon,100.04,107.75,120.66,114.2,170.67,96.54,111.56,109.49,123.24,117.35
site59,ES,Santiago,114.69,57.85,115.13,110.54,99.41,127.42,193.61,95.89,132.74,116.95
site90,FR,Paris Seine Centre,110.32,120.74,104.32,140.77,116.71,110.85,118.49,111.79,121.7,117.46
site98,HR,Zagreb,40.31,45.22,49.16,41.87,46.35,41.21,48.85,44.9,44.57,44.71
site101,IT,Milan,22.3,32.16,21.81,19.93,19.59,17.83,36.14,25.43,23.37,24.25
site107,NL,Amsterdam,169.84,138.31,160.67,180.8,214.1,219.61,169.33,156.27,195.96,178.95
site108,NL,Eindhoven,81.59,102.36,60.58,99.23,97.78,75.89,73.5,81.51,86.6,84.42
site111,NL,Utrecht,149.72,131.17,119.15,169.13,121.7,119.23,122.9,133.35,133.24,133.29
site112,NO,Oslo,113.46,83.27,66.98,95.88,79.72,,78.56,87.9,84.72,86.31
site120,SE,Gothenburg,0,0,0,0,0,0,0,0,0,0
site125,SE,Umea,0,0,0,0,0,0,0,0,0,0
