SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site3,AT,Innsbruck,203.04,191.67,222.07,282.03,278.42,217.47,164.75,186.49,250,222.78
site14,BE,Antwerp Zuid,708.02,666.11,873.98,936.86,872.59,854.6,848.33,740.82,884.51,822.93
site15,BE,Boom,321.86,419.76,574.03,477.69,470.24,,405.76,382.46,507.32,426.8
site17,BE,Brussels,322.25,310.53,318.92,359.61,439.06,488.64,377.63,336.8,401.56,373.81
site19,BE,Koksijde,51.09,42.59,59.99,98.83,110.55,90.16,77.98,57.22,89.88,75.89
site20,BE,Merchtem,199.19,276.24,253.37,257.75,222.68,229.56,204.65,226.69,240.84,234.78
site22,BE,Oostende,120.09,116.1,133.8,151.85,180.08,173.31,140.74,125.64,159.76,145.14
site23,BE,Ruisbroek (Puurs),178.65,272.27,298.06,247.73,260.68,234.42,226.96,225.96,260.22,245.54
site24,CH,Basel,364.94,443.37,,637.56,968.49,490.46,472.36,426.89,698.84,562.86
site25,CH,Berne,417.94,324.55,556.96,713.02,696.79,490.73,494.93,412.47,614.37,527.84
site26,CH,Geneva,566.85,686.84,834.05,1171.17,989.52,670.07,645.37,633.02,916.2,794.84
site29,CH,St. Gallen Hofen,575.17,703.72,866.97,1180.98,935.47,784.03,705.52,661.47,941.86,821.69
site30,CH,Zurich,640.01,720.91,837.67,1318.64,1388.86,888.99,745.85,702.26,1108.54,934.42
site33,CZ,Brno,13.34,18.39,21.77,55.86,33.06,14.08,12.96,14.9,31.19,24.21
site34,CZ,Budweis,9.85,8.04,8.83,10.04,19.1,18.38,13.27,10.39,14.09,12.5
site38,DE,Berlin (4),258.41,268.1,249.69,246.47,389.14,301.84,320.58,282.36,296.78,290.6
site39,DE,Chemnitz,18.05,26.63,17.47,26.16,22.76,14.85,16.09,20.26,20.31,20.29
site40,DE,Dortmund,354.22,402.17,447.1,520.19,496.91,404.5,375.59,377.33,467.18,428.67
site41,DE,Dresden,16.94,16.82,19.61,23.21,32.07,19.98,17.41,17.05,23.72,20.86
site42,DE,Dülmen,39.35,84.25,180.71,201.3,71.52,73.79,128.97,84.19,131.83,111.41
site43,DE,Erfurt,35.38,37.81,50.65,78.38,56.58,39.3,41.81,38.33,56.23,48.56
site44,DE,Frankfurt (3),391.25,387.52,417.96,578.86,518.5,340.84,360.59,379.79,464.04,427.93
site45,DE,Hamburg (2),328.03,340.15,336.6,543.89,524.91,374.75,301.58,323.25,445.04,392.84
site46,DE,Hannover (2),293.55,232.08,362.28,325.18,428.89,257.94,220.45,248.69,343.57,302.91
site47,DE,Magdeburg,109.78,107.34,125.95,164.76,185.56,136.38,123.85,113.66,153.16,136.23
site48,DE,Mainz,111.34,152.77,135.43,153.13,122.89,137.2,86.47,116.86,137.16,128.46
site49,DE,Munich Gut_Grosslappen,108.77,103.93,131.92,180.36,211.3,129.87,114.98,109.23,163.36,140.16
site50,DE,Nuremberg,10.42,7.88,23.52,25.6,29.86,19.97,9.54,9.28,24.73,18.11
site51,DE,Rostock,100.57,160.1,139.99,164.86,156.8,137.49,93.11,117.93,149.79,136.13
site52,DE,Saarbrucken (2),155.94,242.79,198.33,211.24,211.24,170.94,163.43,187.39,197.94,193.42
site53,DE,Stuttgart,182.48,190.59,310.23,247.84,,202.01,167.74,180.27,253.36,216.82
site55,ES,Barcelona,709.93,928.31,980.81,1244.07,1201.61,978.2,713.39,783.88,1101.17,965.19
site56,ES,Castellon,268.89,252.54,178.34,436.94,405.14,358.29,336.34,285.92,344.68,319.5
site57,ES,Madrid VdlV,378.89,344.73,376.79,581.84,492.41,560.14,476.74,400.12,502.79,458.79
site59,ES,Santiago,240.65,277.97,304.47,517.31,523.97,292.95,241.43,253.35,409.68,342.68
site60,ES,Valencia (3),349.45,368.32,394.79,527.03,629.57,344.94,366.44,361.41,474.08,425.79
site61,FI,Espoo,13.38,13.45,14.88,23.7,27.88,16.75,9.46,12.1,20.8,17.07
site62,FI,Helsinki,20.12,18.73,24.83,42,50.48,32.61,20.74,19.86,37.48,29.93
site84,FI,Tampere,11.92,14.5,14.37,23.05,23.57,14.87,11.73,12.72,18.96,16.29
site85,FI,Turku,3.41,3.31,4.32,4.01,6.63,8.39,3.11,3.28,5.84,4.74
site88,FR,Bordeaux I,264.43,153.25,186.4,104.01,479.03,495.49,160.44,192.71,316.23,263.29
site89,FR,Fort-de-France P,401.37,,344.16,471.89,296.77,475.66,404.12,402.74,397.12,398.99
site90,FR,Paris Seine Centre,209.54,239.56,345.48,620.5,359.43,277.84,217.31,222.14,400.81,324.24
site91,FR,Paris South Suburbs,71.36,41.59,158.89,137.81,139.43,139.06,42.06,51.67,143.8,104.31
site92,GB,Bristol,415.86,677.64,771.99,1161.31,1011.22,689.1,556.06,549.85,908.4,754.74
site94,GR,Athens,,41.29,36.61,,52.4,38.12,33.01,37.15,42.38,38.28
site98,HR,Zagreb,175.5,205.44,218.3,301.23,281.67,171.3,160.44,180.46,243.13,216.27
site99,IS,Reykjavik Klettagarðar,304.44,447.13,499.93,485.86,587.91,444.56,291.44,347.67,504.56,437.32
site101,IT,Milan,316.45,298.14,330.22,416.65,402.25,333.59,292.72,302.44,370.67,341.43
site104,LT,Vilnius,23.86,21.79,62.41,22.31,62.77,27.77,21.99,22.55,43.82,34.7
site107,NL,Amsterdam,627.82,612.76,606.09,913.45,752.91,937.53,687.75,642.78,802.49,734.04
site108,NL,Eindhoven,365.15,347.45,348.1,435.74,586.7,506.27,405.04,372.55,469.2,427.78
site109,NL,Nieuwegein Ijssel.,253.88,251.34,305.67,377.56,428.71,353.45,252.94,252.72,366.35,317.65
site110,NL,Oudewater,158.29,161.67,194.66,298.93,478.19,318.33,150.93,156.96,322.53,251.57
site111,NL,Utrecht,225.37,234.83,252.46,316.42,331.32,306.35,354.42,271.54,301.64,288.74
site112,NO,Oslo,68.3,97.43,91.44,91.44,91.44,100.9,107.2,90.98,93.81,92.59
site114,PT,Almada,90.06,108.68,76.62,86.24,15.08,101.96,98.08,98.94,69.97,82.39
site115,PT,Lisbon,274.36,266.78,286.82,282.26,291.67,227.69,,270.57,272.11,271.6
site116,PT,Porto,137.86,146.48,181.4,187.41,176.95,166.93,124.49,136.28,178.17,160.22
site129,SI,Ljubljana,449.1,459.86,393.18,597.42,468.39,343.22,437.11,448.69,450.55,449.76
site133,SK,Bratislava (2),72.53,81.81,85.31,80.09,93.12,70.92,64.68,73.01,82.36,78.35
site134,SK,Piestany,3.86,3.69,6,7.9,9.61,7.9,5.52,4.36,7.85,6.35
