SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site14,BE,Antwerp Zuid,29.26,26.16,34.21,85.55,94.15,56.96,38.67,31.37,67.72,52.14
site17,BE,Brussels,3.54,4.46,3.38,6.01,18.64,8.74,3.54,4.09,8.12,7.45
site34,CZ,Budweis,3.31,1.49,2.78,6.6,3.01,2.47,4.73,3.18,3.71,3.48
site55,ES,Barcelona,6.4,8.56,8.94,27.35,41.26,25.18,13.43,9.47,25.68,18.73
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,3.4,3.89,5.94,4.15,12.93,,5.63,4.31,7.67,5.99
site90,FR,Paris Seine Centre,8.68,10.64,11.46,36.75,6.06,21.13,9.85,9.72,18.85,14.94
site93,GB,London,16.28,14.27,18.46,,79.74,31.62,33.13,21.23,43.28,32.25
site98,HR,Zagreb,1.91,2.34,2.71,5.32,5.5,3.19,1.87,2.04,4.18,3.26
site101,IT,Milan,2.54,2.55,6.19,11.54,18.04,6.49,5.69,3.59,10.56,7.58
site107,NL,Amsterdam,97.81,52.29,43.3,50.71,142.12,,,75.05,78.71,77.24
site108,NL,Eindhoven,82.82,57.68,61,63.33,92.38,60.15,49.38,63.29,69.22,66.68
site112,NO,Oslo,0,0,0,0,0,0,0,0,0,0
site125,SE,Umea,0,0,0,0,0,0,0,0,0,0
