SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site14,BE,Antwerp Zuid,229.63,211.52,318.89,318.79,311.03,272.62,277.78,239.64,305.33,277.18
site17,BE,Brussels,22.92,28.77,39.31,57.57,44.62,32.38,22.18,24.63,43.47,35.39
site34,CZ,Budweis,20.2,27.07,24.6,29.43,23.5,37.31,37.43,28.23,28.71,28.51
site55,ES,Barcelona,7.4,12.14,13.21,25.29,19.5,15.94,14.41,11.31,18.48,15.41
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,33.99,35.46,41.2,40.04,30.08,,22.29,30.58,37.11,33.84
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site93,GB,London,46.2,43.34,30.89,,44.74,26.31,34.1,41.21,33.98,37.6
site98,HR,Zagreb,11.95,13.67,13.26,16.96,20.64,14.71,11,12.21,16.39,14.6
site101,IT,Milan,11.3,12.42,11.5,15.47,10.92,11.34,4.43,9.38,12.31,11.05
site107,NL,Amsterdam,162.77,181.64,70.73,100.65,102.06,,,172.21,91.15,123.57
site111,NL,Utrecht,75.02,54.04,93.74,100.59,83.2,103.67,73.95,84.21,82.89,83.46
site112,NO,Oslo,12.06,11.4,16.95,10.49,12.01,11.84,11.4,11.62,12.82,12.31
site125,SE,Umea,17.14,22.16,13.61,7.22,15.79,10.41,10.42,16.57,11.76,13.82
