SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site14,BE,Antwerp Zuid,0,0,0,0,0,0,0,0,0,0
site34,CZ,Budweis,51,45.37,38.5,45,49.76,53.27,69.67,55.35,46.63,50.37
site55,ES,Barcelona,58.17,136.98,131.27,132.63,85.62,103.57,112.15,102.43,113.27,108.63
site56,ES,Castellon,139.29,134.24,101.63,99.25,108.73,100.37,28.61,100.72,102.49,101.73
site59,ES,Santiago,82.66,138.2,104.03,66.04,45.25,,36.57,85.81,71.77,78.79
site60,ES,Valencia (3),10.45,12.38,12,20.44,11.1,17.85,15.52,12.78,15.35,14.25
site90,FR,Paris Seine Centre,36.68,67.99,51.5,96.85,156.99,259.23,195.87,100.18,141.14,123.59
site98,HR,Zagreb,28.57,33.97,25.15,34.21,33.33,30.71,28.17,30.24,30.85,30.59
site101,IT,Milan,26.28,24.6,25.47,24.64,25.22,25.54,41.55,30.81,25.22,27.61
site107,NL,Amsterdam,206.06,227.57,199.68,169.88,155.64,,,144.55,131.3,191.77
site108,NL,Eindhoven,76.45,90.84,109.75,114,116.63,112.62,99.13,88.81,113.25,102.77
site111,NL,Utrecht,115.12,85.75,112.92,111.51,109.5,128.67,100.74,114.84,104.92,109.17
site125,SE,Umea,0,0,0,0,0,0,0,0,0,0
