SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site14,BE,Antwerp Zuid,589.73,610.11,753.98,784.21,919.91,758.49,631.85,610.56,804.15,721.18
site17,BE,Brussels,146.31,188.31,188.45,236.64,244.04,170.66,115.82,150.15,209.95,184.32
site34,CZ,Budweis,8.12,10.16,10.68,7.93,3.43,4.09,3.3,7.19,6.53,6.82
site55,ES,Barcelona,249.14,411.28,445.86,552.19,560.93,397.41,334.97,331.8,489.1,421.68
site56,ES,Castellon,333.66,429.33,226.85,314.29,565.54,388.1,343.23,368.74,373.7,371.57
site59,ES,Santiago,150.26,184,231.87,319.67,266.31,,115.2,149.82,272.62,211.22
site90,FR,Paris Seine Centre,167.77,211,179.94,263.28,185.84,247.68,188.6,189.12,219.18,206.3
site93,GB,London,375.29,365.49,405.09,,532.41,335.15,342.83,361.2,424.22,392.71
site98,HR,Zagreb,43.75,49.96,52.86,66.84,61.78,40.45,33.99,42.57,55.48,49.95
site101,IT,Milan,225.97,238.5,233.33,314.56,258.21,199.89,201.46,221.98,251.5,238.85
site107,NL,Amsterdam,612.06,645.43,633.08,653.76,676.18,,,628.75,654.34,644.1
site108,NL,Eindhoven,335,358.11,479.38,612,514,356.62,406.88,366.66,490.5,437.42
site111,NL,Utrecht,346.83,253.67,468.92,430.15,330.9,349.89,314.05,336.92,370.91,356.34
site112,NO,Oslo,45.02,42.97,45.8,39.26,69.47,76.8,48.79,45.59,57.83,52.59
site125,SE,Umea,4.59,0.66,0.51,4.6,4.87,2.51,0.69,1.98,3.12,2.63
