SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,66.09,63.65,44.47,88.09,45.07,54.02,55.9,61.88,57.91,59.61
site2,AT,Hall-Wattens,61.5,64.16,89.81,57.6,50.29,75.34,62.13,62.59,68.26,65.83
site3,AT,Innsbruck,77.79,97.11,70.81,64.04,80.16,90.1,90.33,88.41,76.28,81.48
site4,AT,Kapfenberg,70.18,67.09,58.03,68.72,51.72,56.06,88.13,75.13,58.63,65.7
site7,AT,Mürzzuschlag,40.22,38.45,33.13,44.26,42.78,47.22,43.71,40.8,41.85,41.4
site8,AT,Purgstall,22.95,36.99,33.5,31.17,28.38,28.32,32.88,30.94,30.34,30.6
site9,AT,Region Millstattersee,30.74,45.19,32.24,24.62,27.48,35.69,24.56,33.5,30,31.5
site11,AT,Wasserverband Hofsteig,70.4,117.54,91.47,70.38,66.21,75.33,75.76,87.9,75.85,81.01
site24,CH,Basel,12.53,12.85,13.87,25.19,30.03,18.39,15.75,13.71,21.87,18.37
site25,CH,Berne,10.24,6.99,39.08,21.08,6.01,45.25,20.79,12.67,27.86,21.35
site26,CH,Geneva,204.36,194.14,220.68,253.32,,241.31,188.47,195.65,238.44,217.04
site29,CH,St. Gallen Hofen,1.78,11.95,20.2,14.02,11.49,14.1,19.6,11.11,14.95,13.31
site30,CH,Zurich,104.39,107.79,157.63,157.55,117.69,183.45,152.93,121.7,154.08,140.2
site33,CZ,Brno,42.28,39.96,44.66,34.61,36.82,37.19,58.35,46.86,38.32,41.98
site34,CZ,Budweis,41.82,37.15,42.52,42.19,37.27,40.21,50.66,43.21,40.55,41.69
site36,CZ,Ostrava,62.8,43.17,45.12,63.4,62.3,62.77,54.54,53.51,58.4,56.3
site37,CZ,Prague,147.33,147.29,128.68,124.41,133.22,153.25,151.2,148.61,134.89,140.77
site55,ES,Barcelona,209.18,158.02,145.67,145.99,131.07,105.33,153.06,173.42,132.01,149.76
site56,ES,Castellon,84.02,82.72,79.17,82.08,81.96,71.43,108.58,91.77,78.66,84.28
site57,ES,Madrid VdlV,93.17,105.08,84.62,76.23,80.13,90.45,91.08,96.44,82.86,88.68
site59,ES,Santiago,174.93,115.27,157.64,79.41,79.26,131.75,102.13,130.78,112.02,120.06
site60,ES,Valencia (3),96.57,313.49,235.63,82.11,85.47,81.34,111.19,173.75,121.14,143.68
site88,FR,Bordeaux I,139.73,105,179.4,140.98,157.79,283.6,192.25,145.66,190.44,171.25
site90,FR,Paris Seine Centre,93.5,122.86,104.63,98.9,66.53,94.13,75.17,97.18,91.05,93.67
site94,GR,Athens,37.45,46.95,72.42,32.17,51.69,73.86,53.37,45.92,57.53,52.56
site95,GR,Eleusis,28.71,10.21,26.34,38.2,20.68,13.7,12.38,17.1,24.73,21.46
site98,HR,Zagreb,150.03,204.73,211.8,179.93,173.16,182.14,201.13,185.3,186.76,186.13
site99,IS,Reykjavik Klettagarðar,105.5,67.5,71.55,69.21,121.03,78.19,90.04,87.68,84.99,86.15
site100,IT,Bozen,47.38,57.07,58.04,46.3,41.85,50.8,40.86,48.44,49.25,48.9
site101,IT,Milan,40.74,39.33,27.94,33.48,32.53,41.9,33.84,37.97,33.96,35.68
site107,NL,Amsterdam,336.88,225.31,219.53,220.47,239.56,238.76,344.94,302.38,229.58,260.78
site108,NL,Eindhoven,168.63,121.06,125,127.71,116.27,119.71,130.29,139.99,122.17,129.81
site111,NL,Utrecht,103.06,178.14,129.49,135.21,123.96,131.91,120.57,133.93,130.14,131.76
site113,PL,Krakow P,22.33,26.51,18.88,27.38,28.9,39.39,32.32,27.05,28.64,27.96
site114,PT,Almada,58.84,50.18,42.17,33.58,44.13,50.62,52.16,53.73,42.63,47.38
site115,PT,Lisbon,100.62,106.85,98.7,91.94,90.98,111.62,111.76,106.41,98.31,101.78
site116,PT,Porto,57.05,64.03,13.24,97.12,44.19,51.04,44.38,55.15,51.4,53.01
site121,SE,Gävle,223.2,197.68,151.81,143.69,112.49,175.83,127.42,182.77,145.95,161.73
site127,SI,Domžale-Kamnik,55.79,57.48,49.1,56.48,79.42,37.19,38.27,50.51,55.55,53.39
site128,SI,Koper,112.2,96.38,95.82,88.69,93.83,105.75,115.18,107.92,96.02,101.12
site129,SI,Ljubljana,93.35,106.61,95.02,98.01,105.75,133.93,92.05,97.34,108.18,103.53
site130,SI,Maribor,53.54,41.95,64.05,53.88,63.03,91.42,48.74,48.08,68.1,59.52
site131,SI,Novo mesto,131.62,83.41,82.84,49.69,56.31,42.79,56.18,90.4,57.91,71.83
site132,SI,Velenje,79.43,95.48,68.13,89.73,104.15,72.93,120.18,98.36,83.73,90
site133,SK,Bratislava (2),32.3,31.75,40.63,30.42,20.52,25.18,41.02,35.03,29.19,31.69
site134,SK,Piestany,32.2,30,35.92,30.11,19.97,25.08,20.5,27.57,27.77,27.68
site135,TR,Adana,22.1,21.45,17.59,12.59,13.25,13.52,10.83,18.12,14.24,15.9
site137,TR,Istanbul (II-VII),11.39,8.84,8.84,7.68,8.6,9.63,9.76,10,8.69,9.25
