SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,124.76,117.22,88.68,334.45,174.45,108.25,131.53,124.5,176.46,154.19
site2,AT,Hall-Wattens,173.19,183.09,191.67,246.61,260.68,201.64,159.9,172.06,225.15,202.4
site3,AT,Innsbruck,271.62,322.16,334.03,381.92,458.94,264.73,276.39,290.06,359.91,329.97
site4,AT,Kapfenberg,60.77,52.48,60.52,89.9,85.24,54.65,49.48,54.24,72.58,64.72
site7,AT,Mürzzuschlag,24.21,19.11,17.42,21.65,24.13,31.14,29.54,24.29,23.58,23.89
site8,AT,Purgstall,14.09,13.47,51.64,18.03,30.71,14.71,11.56,13.04,28.77,22.03
site9,AT,Region Millstattersee,36.65,31.64,62.64,79.96,94.81,49.76,32.86,33.71,71.79,55.47
site11,AT,Wasserverband Hofsteig,179.8,190.21,251.5,275.2,281.47,185.13,146.98,172.33,248.33,215.76
site14,BE,Antwerp Zuid,786.96,1389.77,977.75,1138.32,2048.63,1006.05,1582.17,1252.96,1292.69,1275.66
site15,BE,Boom,348.8,475.3,441.35,452.45,455.97,420.65,831.14,551.75,442.61,489.38
site17,BE,Brussels,462.05,383.44,567.22,511.16,415.85,454.74,387.46,410.98,487.24,454.56
site19,BE,Koksijde,60.48,72.04,85.71,100.86,179.72,44.98,232.11,121.54,102.82,110.84
site22,BE,Oostende,215.6,226.4,210.08,284.83,317.19,185.23,306.31,249.44,249.33,249.38
site24,CH,Basel,635.02,758.89,763.36,852.12,786.9,640.81,579.33,657.75,760.8,716.63
site25,CH,Berne,441,468.7,556.33,563.44,535.19,439.38,396.93,435.55,523.58,485.85
site26,CH,Geneva,622,700.3,781.58,819.72,,534.83,602.91,641.74,712.05,676.89
site29,CH,St. Gallen Hofen,754.26,846.22,943.11,1222.28,1203,723.51,676.36,758.95,1022.98,909.82
site30,CH,Zurich,771.53,811.58,870.04,1059.27,1074.69,899.95,749.5,777.54,975.99,890.94
site31,CY,Limassol,242.5,219.21,247.18,241.47,303,375.57,277.79,246.5,291.8,272.39
site32,CY,Nicosia,158.43,189.83,159.16,283.34,216.37,290.19,274.33,207.53,237.26,224.52
site33,CZ,Brno,28.18,27.97,36.9,38.46,61.37,63.22,36.18,30.78,49.99,41.76
site34,CZ,Budweis,14.75,14.86,19.24,17.76,27.46,25.4,16.81,15.47,22.47,19.47
site36,CZ,Ostrava,18.24,17.27,17.13,37.3,46.73,36.68,18.51,18.01,34.46,27.41
site37,CZ,Prague,388.38,422.86,513.32,652.27,586.24,411.76,370.63,393.96,540.9,477.92
site39,DE,Chemnitz,5.73,11.38,14.43,25.79,20.08,12.34,3.09,6.73,18.16,13.26
site40,DE,Dortmund,308.68,356.67,384.64,494.73,496.03,303.88,278.84,314.73,419.82,374.78
site41,DE,Dresden,20.92,20.85,22.78,43.68,43.61,26.05,19.07,20.28,34.03,28.14
site42,DE,Dülmen,79.55,63.82,121.08,199.7,176.11,160.27,106.35,83.24,164.29,129.55
site43,DE,Erfurt,39.38,36.93,43.57,76.79,75.01,51.97,40.53,38.95,61.83,52.03
site49,DE,Munich Gut_Grosslappen,173.06,195.46,236.58,302.07,332.68,229.75,180.26,182.93,275.27,235.7
site52,DE,Saarbrucken (2),149.3,176.66,171.07,179.79,202.25,189.09,137.02,154.33,185.55,172.17
site54,DK,Copenhagen,387.78,189.6,465.14,704.98,1502.31,447.59,500.57,359.31,780,599.71
site55,ES,Barcelona,877.05,667.17,694.4,725.32,678.45,564.18,695.51,746.58,665.59,700.3
site56,ES,Castellon,637.95,617.13,585.96,725.74,960.17,888.16,585.73,613.61,790.01,714.41
site57,ES,Madrid VdlV,323.25,648.17,431.18,436.67,527.87,701.81,465.03,478.82,524.38,504.86
site59,ES,Santiago,466.5,553.56,359.48,691.65,642.97,477.19,312.43,444.17,542.82,500.54
