SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,46.87,48.68,44.34,67.07,37.48,58.17,52.23,49.26,51.77,50.69
site2,AT,Hall-Wattens,45.97,35.34,40.26,34.64,36.07,55.98,53.96,45.09,41.74,43.17
site3,AT,Innsbruck,49.39,57.14,66.73,62.27,62.98,72.59,59.34,55.29,66.14,61.49
site4,AT,Kapfenberg,64.28,65.89,73.77,62.04,69.59,27.9,59.96,63.38,58.32,60.49
site6,AT,Kufstein,55.81,61.25,72.51,52.99,54.77,57.8,60.78,59.28,59.52,59.41
site8,AT,Purgstall,39.75,36.44,28.81,31.87,34.53,49.43,51.92,42.7,36.16,38.96
site9,AT,Region Millstattersee,31.47,32.35,32.14,32.72,32.18,28.84,31.69,31.84,31.47,31.63
site10,AT,Strass im Zillertal,30.27,29.68,27.33,27.12,30.71,28.74,26.05,28.67,28.48,28.56
site11,AT,Wasserverband Hofsteig,67.96,76.49,101.82,60.38,61.92,71.93,114.88,86.44,74.01,79.34
site25,CH,Berne,7.07,5.02,21.14,8.01,8.17,18.73,15.29,9.13,14.01,11.92
site26,CH,Geneva,234.96,208.32,194.78,182.53,172.27,168.37,156.69,199.99,179.49,188.27
site29,CH,St. Gallen Hofen,10.84,9.6,18.42,8.91,,5.94,7.66,9.37,11.09,10.23
site30,CH,Zurich,102.03,129.09,105.46,92.16,117.82,136.1,120.12,117.08,112.89,114.68
site35,CZ,Karlovy Vary,98,94.51,104.6,94.56,108.49,103.91,99.69,97.4,102.89,100.54
site36,CZ,Ostrava,65.78,67.29,67.1,94.65,49.52,78.56,71.85,68.31,72.46,70.68
site37,CZ,Prague,89.15,90.86,77.75,126.82,79.41,87.1,81.38,87.13,92.77,90.35
site56,ES,Castellon,67.25,66.83,55.3,64.97,99.46,64.19,68.45,67.51,70.98,69.49
site59,ES,Santiago,85.45,172.4,74.56,82.31,63.48,71.17,95.62,117.82,72.88,92.14
site90,FR,Paris Seine Centre,176.01,186.24,168.66,109.61,159.83,165.62,179.86,180.7,150.93,163.69
site94,GR,Athens,30.62,33.72,41.95,40.74,65.42,46.25,,32.17,48.59,41.56
site95,GR,Eleusis,6.42,12.57,25.43,42.52,17.37,15.14,13.42,10.8,25.12,18.98
site98,HR,Zagreb,145.47,350.12,275.63,218.11,162.47,173.49,277.21,257.6,207.43,228.93
site99,IS,Reykjavik Klettagarðar,103.3,146.18,111.12,87.2,156.66,139.06,70.92,106.8,123.51,116.35
site100,IT,Bozen,32.34,31.2,35.66,33.26,31.15,37.87,35.53,33.02,34.49,33.86
site101,IT,Milan,42.16,,39.46,63.61,42.1,,50.86,46.51,48.39,47.64
site107,NL,Amsterdam,275.32,260.23,252.46,226.22,229.85,258.24,230.39,255.31,241.69,247.53
site108,NL,Eindhoven,129.49,130.53,156.43,122.38,120.86,147.04,141.39,133.8,136.68,135.44
site111,NL,Utrecht,137.66,111.76,137.54,150.22,157.13,165.58,162.28,137.24,152.62,146.02
site113,PL,Krakow P,29.45,30.7,29.25,29.46,22.61,40.96,26.74,28.96,30.57,29.88
site114,PT,Almada,110.28,129.81,113.47,98.81,80.49,109.98,106.62,115.57,100.69,107.07
site115,PT,Lisbon,91.63,98.13,97.44,86.37,65.77,100.6,98.77,96.18,87.54,91.24
site116,PT,Porto,67.18,38.21,37.76,70.62,58.78,63.49,106.44,70.61,57.66,63.21
site121,SE,Gävle,37.62,38.68,76.25,56.91,47.57,50.59,57.71,44.67,57.83,52.19
site122,SE,Sandviken,39.14,46.4,39.84,35.23,42.82,44.08,27.67,37.73,40.49,39.31
site124,SE,Söderhamn,34.15,37.06,46.49,33.93,36.4,36.52,34.68,35.3,38.34,37.03
site135,TR,Adana,20.1,17.72,21.73,0.45,19.66,20.7,10.83,16.22,15.64,15.89
site137,TR,Istanbul (II-VII),43.21,34.47,36.78,38.62,40.08,24.12,33.4,37.03,34.9,35.81
