SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,6.13,7.97,9.37,30.93,20.11,14.85,9.6,7.9,18.81,14.14
site2,AT,Hall-Wattens,5.41,4.23,4.49,11.07,10.09,12.72,8.85,6.16,9.59,8.12
site3,AT,Innsbruck,17.32,15.46,22.18,31.73,31.17,20.67,18.79,17.19,26.44,22.47
site4,AT,Kapfenberg,9.66,13.42,12.87,21.72,33.19,26.62,12.53,11.87,23.6,18.57
site6,AT,Kufstein,15.31,11.94,12.34,63.66,81.5,45.85,13.54,13.6,50.84,34.88
site8,AT,Purgstall,1,2.26,4.08,4,7.58,8.99,4.55,2.6,6.16,4.64
site9,AT,Region Millstattersee,3.64,2,2.75,5.68,4.36,5.85,24.75,10.13,4.66,7
site10,AT,Strass im Zillertal,7.59,6.79,5.63,9.18,21.09,13.42,7.32,7.23,12.33,10.15
site11,AT,Wasserverband Hofsteig,5.44,4.07,3.82,2.33,8.33,13.42,8.23,5.91,6.98,6.52
site14,BE,Antwerp Zuid,72.7,46.48,65.55,74.96,156.06,61.49,78.44,65.87,89.51,79.38
site15,BE,Boom,19.55,18.33,18.59,16.91,27.01,27.32,40.66,26.18,22.46,24.05
site17,BE,Brussels,16.18,17.94,14.7,27.29,37.93,23.12,18.81,17.65,25.76,22.28
site25,CH,Berne,5.72,9.85,14.97,30.62,32.32,22.05,12.74,9.44,24.99,18.33
site26,CH,Geneva,20.88,21.55,22.69,32.84,33.75,36.47,20.74,21.06,31.43,26.99
site29,CH,St. Gallen Hofen,7.18,19.45,14.59,24.43,,11.03,10.01,12.21,16.68,14.45
site30,CH,Zurich,15.39,14.04,17.3,37.51,55.41,35.49,22.06,17.16,36.43,28.17
site31,CY,Limassol,2.71,1.37,1.4,2.42,3.51,2.16,4.37,2.82,2.38,2.56
site32,CY,Nicosia,1.09,1.53,0.46,0.3,4.31,1.59,2.91,1.84,1.67,1.74
site35,CZ,Karlovy Vary,8.88,9.17,8.21,15,17.26,9.25,5.66,7.9,12.43,10.49
site36,CZ,Ostrava,10.49,10.73,12.98,29.56,23.28,16.62,13.75,11.66,20.61,16.77
site37,CZ,Prague,21.14,24.57,26.79,72.24,53.57,31.52,23.39,23.03,46.03,36.18
site39,DE,Chemnitz,8.45,12.02,10.74,13.21,15,12.3,9.94,10.13,12.81,11.66
site40,DE,Dortmund,19.32,18.68,13.82,13.71,24.96,27.97,25.84,21.28,20.12,20.61
site41,DE,Dresden,8.43,33.08,18.04,18.06,18.32,13.52,9.12,16.88,16.98,16.94
site42,DE,Dülmen,4.5,5.6,6.3,9.94,14.98,7.24,7.04,5.71,9.62,7.94
site43,DE,Erfurt,10.37,9.28,,8.96,20.22,16.46,13.04,10.9,15.21,13.06
site45,DE,Hamburg (2),17.97,13.01,,,30.85,,16.89,15.95,30.85,19.34
site47,DE,Magdeburg,14.15,14.47,16.45,21.12,18.62,29.49,19.09,15.9,21.42,19.06
site49,DE,Munich Gut_Grosslappen,19.87,,,15.72,14.92,12.13,9.29,14.58,14.26,14.38
site50,DE,Nuremberg,1.23,1.23,3.18,7.1,12.07,6.95,7.72,3.4,7.33,5.64
site52,DE,Saarbrucken (2),19.49,17.59,19.18,21.73,26.54,20.68,19.28,18.78,22.03,20.64
site56,ES,Castellon,0.99,1.06,1.05,2.41,6.86,8.94,2.11,1.39,4.81,3.34
site59,ES,Santiago,21.84,19,20.6,48.89,37.92,29.08,30.12,23.65,34.12,29.64
site61,FI,Espoo,18.36,15.2,19.52,39.32,51.55,31.09,19.8,17.79,35.37,27.83
site62,FI,Helsinki,22.93,21.28,23.86,58.51,78.66,47.11,28.57,24.26,52.03,40.13
site63,FI,Hämeenlinna,5.78,4.37,6.25,12.87,15.02,11.89,13.11,7.75,11.51,9.9
site64,FI,Joensuu,5,3.63,10.24,22.81,22.66,10.67,6.2,4.94,16.6,11.6
site65,FI,Jyväskylä,5.31,6.76,8.47,19.75,12.49,13.61,8.09,6.72,13.58,10.64
site66,FI,Kajaani,5.66,2.22,2.5,13.08,4.72,7.24,5.98,4.62,6.88,5.91
site67,FI,Kemi,2.72,1.44,10.4,23.08,15.89,8.99,9.86,4.67,14.59,10.34
site68,FI,Kokkola,12.76,11.84,9.69,23.7,30.59,27.27,27.1,17.23,22.81,20.42
site69,FI,Kotka,14.69,9.09,11.65,15.1,32.89,27.36,23.76,15.85,21.75,19.22
site70,FI,Kouvola,43.95,20.62,16.74,25.01,25.39,25.69,21.23,28.6,23.21,25.52
site71,FI,Kuopio,10.92,8.68,10.23,25.87,31.84,18.74,16.01,11.87,21.67,17.47
site72,FI,Lahti,24.4,24,23.83,65.63,61.58,47.76,24.37,24.26,49.7,38.8
