SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,98.22,107.09,138.97,277.65,141.82,113.55,90.27,98.53,168,138.22
site2,AT,Hall-Wattens,198.51,191.85,188.4,252.67,258.04,184.96,197.85,196.07,221.02,210.32
site3,AT,Innsbruck,272.4,285.7,352.42,403.34,392.42,266.43,271.96,276.69,353.65,320.67
site4,AT,Kapfenberg,148.49,157.88,118.73,204.25,190.41,102.76,102.67,136.35,154.04,146.46
site6,AT,Kufstein,364.86,369.03,440.21,449.37,499.04,357.81,347.98,360.62,436.61,404.04
site8,AT,Purgstall,30.39,19.28,21.52,17.96,26.36,22.62,32.59,27.42,22.11,24.39
site9,AT,Region Millstattersee,83.16,60.52,74.26,101.62,92.53,53.24,64.7,69.46,80.41,75.72
site10,AT,Strass im Zillertal,94.1,97.21,119.48,171.26,171.9,100.89,99.95,97.09,140.88,122.11
site11,AT,Wasserverband Hofsteig,100.95,163.51,171.02,162.2,285.03,306.16,187.81,150.76,231.1,196.67
site14,BE,Antwerp Zuid,1049.69,949.03,1126.59,1201.26,2090.15,789.02,1018.39,1005.7,1301.75,1174.88
site15,BE,Boom,456.63,463.37,382.86,365.78,363.02,353,535.6,485.2,366.17,417.18
site17,BE,Brussels,445.45,525.75,492.9,534.19,509.93,432.1,379.07,450.09,492.28,474.2
site25,CH,Berne,512.87,520.74,553.28,664.97,619.6,522.41,576.42,536.68,590.06,567.18
site26,CH,Geneva,530.6,540.8,530.63,569.24,512.58,409.09,417.55,496.31,505.38,501.5
site29,CH,St. Gallen Hofen,624.28,619.53,744.62,959.27,,571.83,631.42,625.08,758.57,691.83
site30,CH,Zurich,731.69,659.17,810.15,1237.33,1074.64,782.13,825.43,738.76,976.06,874.36
site31,CY,Limassol,42.91,46.65,47.98,41.17,37.57,27.74,63.27,50.95,38.61,43.9
site32,CY,Nicosia,73.14,43.82,69.74,54.65,73.62,48.58,41.62,52.86,61.65,57.88
site35,CZ,Karlovy Vary,55.04,64.31,68.19,104.35,70.34,46.25,36.07,51.8,72.28,63.51
site36,CZ,Ostrava,37.3,43.37,41.66,74.31,46.2,33.92,41.06,40.58,49.02,45.4
site37,CZ,Prague,228.38,289.9,237.2,397.94,296.11,215.28,210.73,243.01,286.63,267.94
site39,DE,Chemnitz,20.99,18.99,22.2,33.38,39.45,37.58,18.77,19.58,33.15,27.34
site40,DE,Dortmund,302.36,252.51,242.48,247.62,369.85,351.73,368.69,307.85,302.92,305.04
site41,DE,Dresden,36.01,29.29,54.13,48.68,57.01,34.61,35.28,33.53,48.61,42.14
site42,DE,Dülmen,89.73,114,139.57,178.04,175.72,132.8,113.7,105.81,156.53,134.79
site43,DE,Erfurt,54.33,56.05,,78.39,107.15,74.09,56.14,55.51,86.54,71.02
site45,DE,Hamburg (2),421.27,359.37,,,572.21,,363.07,381.24,572.21,459.17
site47,DE,Magdeburg,158.58,166.37,155.88,208.78,179.87,223.04,173.02,165.99,191.89,180.79
site49,DE,Munich Gut_Grosslappen,246.4,,,222.14,157.03,145.93,185.13,215.77,175.03,191.33
site50,DE,Nuremberg,28.01,34.54,37.72,48.99,51.38,36.17,30.89,31.15,43.56,38.24
site52,DE,Saarbrucken (2),156.54,150.6,183.02,203.65,210.11,132.84,135.79,147.64,182.4,167.51
site56,ES,Castellon,445.46,487.24,417.29,397.07,498.16,432.24,387.86,440.19,436.19,437.9
site59,ES,Santiago,575.31,481.6,535.38,961.35,621.09,528.59,572.12,543.01,661.6,610.78
site61,FI,Espoo,33.12,36.87,38.98,63.06,73.21,46.53,39.53,36.5,55.44,47.33
site62,FI,Helsinki,51.52,62.03,71.59,117.43,126.22,76.97,68.09,60.55,98.05,81.98
site63,FI,Hämeenlinna,4.75,4.33,8.19,22.09,25.29,16.83,6.4,5.16,18.1,12.55
site64,FI,Joensuu,1.7,1.62,1.94,2.58,2.21,0.78,1.35,1.56,1.88,1.74
site65,FI,Jyväskylä,2.9,3.08,2.4,4.54,2.55,2.6,3.04,3.01,3.02,3.01
site66,FI,Kajaani,1.01,1.72,0.49,0.64,0.75,0.53,1.34,1.36,0.6,0.93
site67,FI,Kemi,0.19,3.04,2.55,4.06,2.09,0.35,0.7,1.31,2.27,1.86
site68,FI,Kokkola,0.59,0.63,0.85,0.86,0.6,0.41,1.32,0.85,0.68,0.75
site69,FI,Kotka,17.48,11.87,9.27,21.56,30.22,27.31,11.26,13.54,22.09,18.43
site70,FI,Kouvola,9.31,6.47,7.87,8.85,7.59,5.96,6.83,7.54,7.57,7.55
site71,FI,Kuopio,1.22,0.61,1.64,11.87,16.4,5.74,3.75,1.86,8.91,5.89
site72,FI,Lahti,20.1,36.7,28.35,44.67,55.8,35.72,41.05,32.62,41.14,37.49
site73,FI,Lappeenranta,2.29,1.61,1.07,1.54,0.58,1.85,1.31,1.73,1.26,1.47
