SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,6.33,6.73,5.85,11.3,8.4,7.32,4.97,6.01,8.22,7.27
site2,AT,Hall-Wattens,4.89,3.21,3.57,3.79,2.54,7.27,2.47,3.52,4.29,3.96
site3,AT,Innsbruck,4.99,3.4,4.15,3.11,3.31,3.65,3.23,3.88,3.56,3.69
site4,AT,Kapfenberg,1.36,2.26,0.45,0.8,0.38,0.74,2,1.87,0.59,1.14
site6,AT,Kufstein,1.45,0.26,7.01,1.7,1.7,0.41,2.29,1.33,2.71,2.12
site8,AT,Purgstall,2.26,0.88,0.79,0.72,0.66,2.5,1.43,1.52,1.17,1.32
site9,AT,Region Millstattersee,5.02,5.93,5.65,4.97,3.01,7,6.76,5.9,5.16,5.48
site10,AT,Strass im Zillertal,5.96,7.65,7.8,7.16,4.29,6.97,6.83,6.81,6.55,6.67
site11,AT,Wasserverband Hofsteig,0.62,4.18,0.82,0.52,1.52,2.31,2.63,2.48,1.29,1.8
site14,BE,Antwerp Zuid,37.71,34.22,34.87,36.92,60.43,29.48,39.42,37.12,40.42,39.01
site15,BE,Boom,1,1.02,1.01,1.53,1.43,0.78,0.29,0.77,1.19,1.01
site17,BE,Brussels,11.42,11.09,10.76,13.15,12.65,11.01,9.64,10.72,11.89,11.39
site25,CH,Berne,29.64,28.22,27.85,31.87,24.95,28.47,29.31,29.06,28.28,28.61
site26,CH,Geneva,7.3,6.15,6.55,7.92,7.91,9.65,11.79,8.41,8.01,8.18
site29,CH,St. Gallen Hofen,9.29,8.15,8.36,7.8,,7.66,12.8,10.08,7.94,9.01
site30,CH,Zurich,58.83,50.74,54.92,64.51,68.03,64.97,60.68,56.75,63.11,60.38
site31,CY,Limassol,24.33,14.53,17.85,9.77,15.71,16.89,33.29,24.05,15.06,18.91
site32,CY,Nicosia,11.39,8.71,10.34,11.46,6.24,7.86,7.86,9.32,8.97,9.12
site35,CZ,Karlovy Vary,379.93,408.59,440.23,410.87,381.42,348.37,351.86,380.13,395.22,388.75
site36,CZ,Ostrava,696.2,684.09,638.1,748.51,561.52,680.24,911.91,764.07,657.09,702.94
site37,CZ,Prague,315.99,355.27,305.42,349.54,305.11,326.22,335.93,335.73,321.57,327.64
site39,DE,Chemnitz,351.61,339.16,337.78,367.91,335.94,313.61,256.68,315.82,338.81,328.95
site40,DE,Dortmund,0,0,0,0,0,0,0,0,0,0
site41,DE,Dresden,212.24,159.72,282.11,207.3,163.02,172.42,213.71,195.23,206.21,201.51
site42,DE,Dülmen,0,0,0,0,0,0,0,0,0,0
site43,DE,Erfurt,440.02,429.13,,382.98,478.47,442.14,438.96,436.04,434.53,435.28
site45,DE,Hamburg (2),13.62,5.3,,,5.99,,4.5,7.81,5.99,7.64
site47,DE,Magdeburg,141.05,163.66,128.87,146.18,131.68,146.72,140.31,148.34,138.36,142.63
site49,DE,Munich Gut_Grosslappen,6.69,,,10.19,7.78,12.74,9.09,7.89,10.24,9.3
site50,DE,Nuremberg,102.71,114.73,123.19,140.36,143.48,120.24,120.2,112.55,131.82,123.56
site52,DE,Saarbrucken (2),0,0,0,0,0,0,0,0,0,0
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site61,FI,Espoo,3.6,4.65,4.73,6.32,6.59,4.78,5.03,4.42,5.6,5.1
site62,FI,Helsinki,9.26,10.2,8.9,10.71,11.67,10.79,9.52,9.66,10.52,10.15
site63,FI,Hämeenlinna,2.25,2.33,2.08,2.89,2.34,2.23,3.17,2.58,2.38,2.47
site64,FI,Joensuu,1.59,1.49,1.72,1.3,1.27,0.93,0.95,1.34,1.31,1.32
site65,FI,Jyväskylä,3.68,2.03,1.51,1.85,1.17,1.38,1.29,2.33,1.48,1.85
site66,FI,Kajaani,0.93,1.29,1.31,1.34,0.72,1.25,0.91,1.04,1.15,1.11
site67,FI,Kemi,0.91,1,0.95,0.92,1.31,0.99,1.08,1,1.04,1.02
site68,FI,Kokkola,0.85,0.78,0.6,0.68,0.76,0.61,0.69,0.77,0.66,0.71
site69,FI,Kotka,3.07,2.51,2.24,3.16,3,3.8,2.94,2.84,3.05,2.96
site70,FI,Kouvola,2.04,2.22,2.22,2.44,2.4,1.78,1.5,1.92,2.21,2.08
site71,FI,Kuopio,1.69,1.56,1.84,1.76,1.74,1.73,2.06,1.77,1.77,1.77
site72,FI,Lahti,9.87,12.15,43.88,10.89,7.29,27.43,24.26,15.43,22.37,19.39
