SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site3,AT,Innsbruck,140.33,131.03,177.57,236.55,205.33,131.01,111.9,127.75,187.62,161.96
site13,BE,Antwerp Deurne,406.43,344.42,394.53,448.28,490.93,410.25,372.49,374.45,436,409.62
site14,BE,Antwerp Zuid,776.91,670.11,808.53,1040.18,1406.51,912.82,788.49,745.17,1042.01,914.79
site17,BE,Brussels,319.82,376.04,392.35,491.75,516.18,453.48,368.19,354.68,463.44,416.83
site19,BE,Koksijde,55.38,34.11,61.97,71.18,195.11,66.64,55.22,48.23,98.73,77.09
site22,BE,Oostende,74.7,72.53,83.02,114.53,171.48,93.49,76.26,74.5,115.63,98
site24,CH,Basel,366.85,404.11,425.36,557.91,520.9,399,372.08,381.01,475.79,435.17
site25,CH,Berne,286.07,284.61,305.19,401.14,357.78,317.61,327.55,299.41,345.43,325.71
site26,CH,Geneva,407.72,424.78,515.08,591.17,551.07,,418.4,416.97,552.44,484.7
site28,CH,Lugano,346.73,392.78,363.3,496.21,421.19,316.96,330.41,356.64,399.41,381.08
site29,CH,St. Gallen Hofen,394.96,406.98,448.02,606.8,566.38,410.52,318.58,373.51,507.93,450.32
site30,CH,Zurich,597.97,651.59,707.83,904.13,953.55,661.75,580.89,610.15,806.81,722.53
site31,CY,Limassol,113.11,118.4,172.99,147.89,166.13,175.15,180.56,137.36,165.54,153.46
site32,CY,Nicosia,71.25,59.05,80.7,86.58,105.38,98.74,68.87,66.39,92.85,81.51
site34,CZ,Budweis,4.73,2.4,3.08,5.58,9.93,10.36,11.76,6.3,7.24,6.83
site40,DE,Dortmund,487.4,538.96,465.1,504.23,450.16,227.3,272.01,432.79,411.7,420.74
site41,DE,Dresden,14.26,14.57,17.08,23.95,21.44,15.91,16.68,15.17,19.6,17.7
site42,DE,Dülmen,47.47,82.31,92.06,113.78,109,85.01,58.81,62.87,99.96,84.07
site49,DE,Munich Gut_Grosslappen,94.37,103.65,161.12,137.1,107.43,106.79,86.07,94.7,128.11,113.79
site55,ES,Barcelona,604.16,588.15,666.25,930.6,926.77,642.26,535.54,575.95,791.47,699.1
site56,ES,Castellon,287.58,325.69,477.35,479.04,422.04,241.79,319.24,310.83,405.05,364.67
site58,ES,Molina de Segura,320.96,402.52,426.09,658.1,654.13,510.41,597.37,440.28,562.18,509.94
site59,ES,Santiago,105.78,147.47,144.28,179.5,184.87,154.49,82.35,111.86,165.78,142.68
site60,ES,Valencia (3),201.35,203.83,274.95,419.1,431.28,209.94,90.94,165.37,333.82,261.63
site61,FI,Espoo,5.49,6.35,6.76,15,21.41,11.05,7.41,6.42,13.56,10.5
site62,FI,Helsinki,12.64,13.15,14.81,24.72,25.63,16.27,10,11.93,20.36,16.75
site64,FI,Joensuu,1.76,0.59,0.56,1.27,1.04,0.56,0.49,0.95,0.86,0.9
site65,FI,Jyväskylä,0,0,0,0,0,0,0,0,0,0
site69,FI,Kotka,1.32,1.6,1.65,3.98,5.77,5.03,2.98,1.97,4.11,3.19
site71,FI,Kuopio,1.53,0.53,0.51,1.09,2.44,1.36,0.51,0.86,1.35,1.14
site72,FI,Lahti,12.9,29.27,10.06,4.15,6.44,3.98,2.7,14.95,6.16,9.93
site73,FI,Lappeenranta,0,0,0,0,0,0,0,0,0,0
site76,FI,Oulu,0,0,0,0,0,0,0,0,0,0
site80,FI,Rovaniemi,0.97,0.94,0.94,0.93,0.91,0.93,5.11,2.34,0.93,1.53
site82,FI,Savonlinna,0,0,0,0,0,0,0,0,0,0
site84,FI,Tampere,3.29,6.4,7.83,8.64,8.33,6.65,3.94,4.54,7.86,6.44
site85,FI,Turku,1.04,1.08,1.04,2.91,4,1.81,0.75,0.96,2.44,1.8
site86,FI,Vaasa,0,0,0,0,0,0,0,0,0,0
site88,FR,Bordeaux I,274.4,216.39,303.18,197.04,399.14,180.61,151.44,214.08,269.99,246.03
site90,FR,Paris Seine Centre,139.55,124.06,85.72,188.1,248.87,252.9,147.98,137.19,193.9,169.6
site92,GB,Bristol,117.02,288.9,349.52,565.38,713.82,367.2,331.05,245.65,498.98,390.41
site93,GB,London,637.52,644.05,732.16,1145.32,,1120.44,1090.04,790.53,999.31,894.92
