SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site13,BE,Antwerp Deurne,15.05,11.56,23.14,15.53,24.68,34.56,15.88,8.87,22.66,20.06
site14,BE,Antwerp Zuid,35.6,30.12,35.46,57.56,94.37,103.23,55.37,40.36,72.65,58.82
site18,BE,Geraardsbergen,14.72,12.76,16.86,10.35,10.76,12.9,7.57,11.68,9.49,12.27
site21,BE,Ninove,7.97,5.83,34.42,18.96,21.11,13.77,8.69,7.49,18.62,15.82
site24,CH,Basel,11.45,11.38,15.08,25.91,55.55,26.21,17.92,13.58,30.69,23.36
site25,CH,Berne,7.76,4.12,8.98,19.38,51.58,26.49,13.51,8.46,26.61,18.83
site26,CH,Geneva,8.91,8.6,20.66,51.62,32.82,15.51,10.81,9.44,30.15,21.27
site27,CH,Lausanne,7.07,7.7,22.54,52.84,29.02,15.09,8.93,7.9,29.87,20.46
site28,CH,Lugano,5.31,3.21,0.87,6.43,3.57,2.3,4.05,4.19,3.29,3.68
site29,CH,St. Gallen Hofen,7.98,22.85,20.82,59.54,51.77,31.19,15.21,15.35,40.83,29.91
site30,CH,Zurich,15.49,10.94,16.19,69.35,172.42,78.29,25.25,17.23,84.06,55.42
site38,DE,Berlin (4),17.2,14.45,13.29,23.68,43.25,41.58,46.39,26.08,30.45,28.58
site40,DE,Dortmund,10.55,8.04,3.69,10.96,10.04,13.26,22.23,13.61,9.49,11.25
site41,DE,Dresden,2.86,2.91,2.89,5.04,10.65,6.14,2.79,2.85,6.18,4.75
site42,DE,Dülmen,2.07,3.22,7.43,8.32,17.41,15.1,13.02,4.24,13.46,9.51
site49,DE,Munich Gut_Grosslappen,11.06,9.67,8.78,10.68,27.07,40,19.18,9.84,24.23,18.06
site54,DK,Copenhagen,0.99,1,49.32,57.62,86.31,1.21,0.99,0.99,48.61,28.21
site55,ES,Barcelona,13.79,11.75,17.94,49.08,48.93,48.52,22.43,15.99,41.12,30.35
site56,ES,Castellon,3.74,4.16,3.54,7.37,3.26,3.34,3.45,3.78,4.38,4.12
site59,ES,Santiago,11.74,11.47,17.04,10.31,9.15,7.25,11.39,11.53,10.94,11.19
site60,ES,Valencia (3),3.3,5.83,3.16,11.67,23.1,9.72,5.97,5.03,11.91,8.96
site61,FI,Espoo,10.4,11.27,7.52,21.1,23.74,11.49,105.55,42.4,15.96,27.29
site62,FI,Helsinki,6.66,6.42,9.26,32.37,44.86,17.46,9.13,7.4,25.99,18.02
site64,FI,Joensuu,1.67,0.88,2.28,1.55,1.8,1.52,1.59,1.38,1.79,1.61
site65,FI,Jyväskylä,4.78,3.54,4.26,6.74,6.69,13.48,4.8,4.37,7.79,6.33
site69,FI,Kotka,3.75,2.44,2.01,9.28,12.97,18.6,5.48,3.89,10.72,7.79
site71,FI,Kuopio,6.04,2.98,5.56,14.78,17.35,3.38,4.92,4.65,10.27,7.86
site72,FI,Lahti,6.99,14.48,26.21,45.73,40.97,26.77,8.69,10.05,34.92,24.26
site73,FI,Lappeenranta,8.88,2.97,2.28,7.94,4.14,2.51,3.5,5.12,4.22,4.6
site76,FI,Oulu,31.86,26.21,35.38,61.8,58.63,32.12,38.62,32.23,46.98,40.66
site80,FI,Rovaniemi,8.26,12.31,14.74,21.19,11.87,14.22,3.8,8.12,15.5,12.34
site82,FI,Savonlinna,0.15,0.78,1.81,2.02,2.17,0.57,0.61,0.51,1.64,1.16
site84,FI,Tampere,4.4,5.48,7.32,19.12,15.84,7.09,8.39,6.09,12.34,9.66
site85,FI,Turku,3.94,5.72,8.2,21.23,20.32,9.77,4.29,4.65,14.88,10.5
site86,FI,Vaasa,6.71,6.5,6.86,15.47,15.3,6.54,3.86,5.69,11.04,8.75
site90,FR,Paris Seine Centre,2.38,2.47,2.4,42.61,58.59,22.62,2.38,2.41,31.55,19.06
site92,GB,Bristol,16.43,12.36,17.92,49.88,66.17,34.06,22.97,17.25,42.01,31.4
site93,GB,London,40.03,43.34,101.7,170.14,42.33,41.83,35.88,39.75,89,67.89
site94,GR,Athens,3.28,2.17,2.03,5.24,11.02,4.63,2.46,2.64,5.73,4.4
site98,HR,Zagreb,6.39,5.27,5.19,14.3,30.66,12.35,7.61,6.42,15.62,11.68
site101,IT,Milan,1.62,1.63,2.17,7.07,8.77,4.69,1.77,1.67,5.67,3.96
site107,NL,Amsterdam,126.67,112.4,104.8,111.3,126.41,227.89,244.14,161.07,142.6,150.51
site111,NL,Utrecht,44.24,40.87,43.45,58.62,218.27,118.8,77.56,54.22,109.79,85.97
site112,NO,Oslo,2.39,78.1,64.54,107.75,174.95,102.71,2.01,27.5,112.49,76.06
site114,PT,Almada,0,0,0,0,0,0,0,0,0,0
