SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site2,AT,Hall-Wattens,4.18,5.22,5.24,6.76,6.86,6.82,5.22,4.87,6.42,5.76
site3,AT,Innsbruck,12.33,16.5,16.45,22.39,20.4,16.94,14.34,14.39,19.04,17.05
site9,AT,Region Millstattersee,7.42,7.12,7.47,6.78,7.88,6.13,7.2,7.25,7.06,7.14
site11,AT,Wasserverband Hofsteig,10.73,10.7,10.03,14.39,12.29,12.78,11.48,10.97,12.37,11.77
site14,BE,Antwerp Zuid,177.37,198.03,191.24,200.94,172.89,186.77,142.87,172.76,187.96,181.44
site16,BE,Brugge,56.69,58.94,75.5,46.37,61.13,28.15,58.41,58.01,52.79,55.03
site17,BE,Brussels,30.56,28.57,31.65,37.96,44.98,35.82,35.18,31.44,37.6,34.96
site19,BE,Koksijde,37.01,44.36,70.85,72.96,59.5,51.12,52.2,44.53,63.61,55.43
site22,BE,Oostende,69.79,209.64,201.13,215.09,184.58,88.47,92.71,124.05,172.31,151.63
site24,CH,Basel,32.63,29.17,48.78,28.76,42.17,36.3,41.4,34.4,39,37.03
site25,CH,Berne,32.85,37.74,44.02,48.08,38.64,35.56,24.93,31.84,41.57,37.4
site26,CH,Geneva,7.2,8.66,10.52,9.57,10.66,14.37,8.99,8.28,11.28,10
site29,CH,St. Gallen Hofen,35.16,51.97,60.14,69.51,43.42,36.26,36.55,41.23,52.33,47.57
site30,CH,Zurich,38.13,49.38,42.73,54.16,69.12,60.63,48.17,45.22,56.66,51.76
site31,CY,Limassol,8.96,6.84,8.39,7.09,7.28,8.04,6.54,7.44,7.7,7.59
site32,CY,Nicosia,4.26,5.5,4.88,5.09,6.66,4.49,5.33,5.03,5.28,5.17
site33,CZ,Brno,14.1,14.54,18.26,15.01,14.31,16.23,17.44,15.36,15.95,15.7
site34,CZ,Budweis,20.71,16.54,16.37,16.26,24.92,27.52,18.56,18.6,21.27,20.13
site38,DE,Berlin (4),142.2,135.39,122.16,154.79,162.57,154.11,138.72,138.77,148.4,144.28
site39,DE,Chemnitz,18.56,19.53,27.28,18.53,22.03,15.81,14.42,17.5,20.91,19.45
site40,DE,Dortmund,110.41,143.21,135.84,144.78,154.71,140.26,137.85,130.49,143.9,138.15
site41,DE,Dresden,28.69,25.74,23.45,36.05,38.33,18.44,22.76,25.73,29.07,27.64
site42,DE,Dülmen,101.49,85.5,109.06,120.73,145.82,104.54,128.01,105,120.04,113.59
site43,DE,Erfurt,48.53,31.79,36.11,41.94,40.89,47.86,31.22,37.18,41.7,39.76
site49,DE,Munich Gut_Grosslappen,2.88,4.74,2.54,14.35,12.69,3.41,3.48,3.7,8.25,6.3
site52,DE,Saarbrucken (2),373.64,417.07,423.98,446.1,450.59,406.7,333.4,374.7,431.84,407.35
site54,DK,Copenhagen,55.32,56.16,56.26,67,51.79,67,62.63,58.04,60.51,59.45
site55,ES,Barcelona,49.49,37.79,34.06,41.08,37.08,25.9,20.98,36.09,34.53,35.2
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site57,ES,Madrid VdlV,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),12.89,12.4,13.39,15.5,16.51,15.71,14.92,13.41,15.28,14.48
site61,FI,Espoo,79.69,74.18,85.23,112.17,108.52,88.47,80.97,78.28,98.6,89.89
site62,FI,Helsinki,129.41,142.08,143.59,178.24,184.4,146.72,121.3,130.93,163.24,149.39
site63,FI,Hämeenlinna,80.38,94.05,91.39,105.79,103.67,81.35,74.01,82.81,95.55,90.09
site64,FI,Joensuu,63.62,37.08,45.47,38.51,27.41,74.39,68.94,56.55,46.44,50.77
site65,FI,Jyväskylä,103.17,83.51,101.87,120.79,112.23,95.67,83.74,90.14,107.64,100.14
site66,FI,Kajaani,32.79,42.24,35.05,33.94,42.38,35.37,27.61,34.21,36.69,35.63
site67,FI,Kemi,138.48,107.05,87.69,90.91,77.97,84.49,109.66,118.4,85.26,99.46
site68,FI,Kokkola,24.27,22.39,22.15,27.83,26.68,26.15,26.62,24.43,25.7,25.15
