SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site2,AT,Hall-Wattens,4.81,4.83,2.83,12.09,12.82,9.46,5.72,5.12,9.3,7.51
site3,AT,Innsbruck,15.83,13.57,13.1,43.49,56.73,26.14,17.98,15.79,34.86,26.69
site9,AT,Region Millstattersee,2.5,3.76,5.8,8.25,12.61,13.87,4.52,3.59,10.13,7.33
site11,AT,Wasserverband Hofsteig,3.45,5.03,7.84,14.3,14.78,11.03,5.87,4.79,11.99,8.9
site16,BE,Brugge,6.75,5.95,4.53,3.47,8.93,2.96,9.66,7.46,4.97,6.04
site17,BE,Brussels,11.11,13.84,15.35,37.66,73.84,32.73,16.05,13.67,39.9,28.66
site19,BE,Koksijde,2.44,3.21,10.73,6.93,10.08,9.37,5.55,3.73,9.28,6.9
site22,BE,Oostende,5.69,12.98,14.96,15.52,17.92,7.96,6.06,8.25,14.09,11.59
site24,CH,Basel,22.07,10.27,13.48,25.98,47.2,25.68,15.73,16.02,28.08,22.92
site25,CH,Berne,17.23,9.18,20.15,51.89,53.69,35.22,9,11.81,40.24,28.05
site26,CH,Geneva,15.15,21.1,31.3,70.43,89.91,38.77,20.2,18.81,57.61,40.98
site29,CH,St. Gallen Hofen,12.66,25.48,41.84,67.42,73.74,49.57,20.07,19.4,58.14,41.54
site30,CH,Zurich,24.67,22.82,31.27,95.78,190.36,107.2,41.68,29.72,106.15,73.4
site31,CY,Limassol,8.63,6.51,7.8,9.49,11.69,12.38,9.58,8.24,10.34,9.44
site32,CY,Nicosia,2.93,3.88,3.42,4.94,3.51,3.12,2.18,3,3.75,3.43
site33,CZ,Brno,12.91,10.16,15.61,14.01,52.47,35.7,17.21,13.43,29.45,22.58
site34,CZ,Budweis,9.25,6.53,8.54,6.32,26.2,34.82,13.29,9.69,18.97,14.99
site38,DE,Berlin (4),65.81,50.84,31.91,42.68,72.93,85.74,66.89,61.18,58.31,59.54
site39,DE,Chemnitz,6.5,16.55,13.33,12.86,18.42,14.23,7.21,10.08,14.71,12.73
site40,DE,Dortmund,18.21,15.08,13.53,21.1,36.84,26.92,16.92,16.73,24.6,21.23
site41,DE,Dresden,8.99,8.12,8.48,23.92,42.35,14.98,8.8,8.64,22.43,16.52
site42,DE,Dülmen,7.05,5.89,12.46,17.01,26.85,12.17,14.2,9.04,17.12,13.66
site43,DE,Erfurt,11.88,9.12,16.35,22.52,37.81,23.26,12.44,11.15,24.99,19.06
site49,DE,Munich Gut_Grosslappen,10.73,10.03,14.98,32.43,47.05,21.01,11.26,10.67,28.87,21.07
site52,DE,Saarbrucken (2),21.33,35.58,24.15,41.66,63.11,44.11,23.78,26.9,43.26,36.25
site54,DK,Copenhagen,10.92,9.43,8.85,32.72,32.64,18.6,14.59,11.64,23.2,18.25
site55,ES,Barcelona,25.08,22.04,25.65,68.33,100.75,57.02,28.55,25.22,62.94,46.77
site56,ES,Castellon,1.35,1.1,0.95,4.07,8.52,3.03,0.97,1.14,4.14,2.85
site57,ES,Madrid VdlV,4.38,3.47,4.61,18.21,29.43,22.3,8.69,5.52,18.63,13.01
site59,ES,Santiago,6.65,7.73,12.44,22.15,26.8,14.86,9.63,8,19.06,14.32
site60,ES,Valencia (3),6.66,4.65,4.57,10.19,17.48,16.1,18.4,9.9,12.08,11.15
site61,FI,Espoo,10.1,10.6,11.04,30.87,41.3,28.17,17.72,12.81,27.85,21.4
site62,FI,Helsinki,17.85,18.45,18.86,59.79,84.23,43.06,22.5,19.6,51.49,37.82
site63,FI,Hämeenlinna,5.83,3.53,4.3,13.93,18.48,23.37,12.7,7.35,15.02,11.73
site64,FI,Joensuu,7.45,10.24,17.26,23.29,21.25,22.31,15.16,10.95,21.03,16.71
site65,FI,Jyväskylä,14.99,13.57,16.22,46.76,39.72,24.29,11.75,13.44,31.75,23.9
site66,FI,Kajaani,2.7,2.96,4.49,4.26,13.24,12.27,9.42,5.02,8.56,7.05
site67,FI,Kemi,3.83,4.89,2.1,14.1,15.34,6.37,10.95,6.56,9.48,8.23
site68,FI,Kokkola,3.9,3.02,2.74,3.61,2.39,2.62,2.58,3.17,2.84,2.98
site69,FI,Kotka,8.04,8.31,8.92,9.23,20.51,18.58,15.36,10.57,14.31,12.71
site70,FI,Kouvola,7.49,6.56,9.58,17.91,21.92,14.17,6.93,7,15.89,12.08
site71,FI,Kuopio,3.87,4.88,17.57,9.11,17.17,8.44,9.66,6.14,13.07,10.1
site72,FI,Lahti,11.96,10.28,13.32,25.02,37.65,22.48,19.32,13.85,24.62,20.01
site73,FI,Lappeenranta,6.82,7.81,12.26,31.36,23.15,14.21,5.82,6.82,20.24,14.49
site74,FI,Mariehamn,27.51,30.31,14.12,20.4,17.57,,13.05,23.62,17.37,18.9
