SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site2,AT,Hall-Wattens,1.81,1,2.14,1.95,1.62,1.95,1.34,1.38,1.91,1.69
site3,AT,Innsbruck,2.22,2.35,2.12,1.79,1.97,1.9,2.49,2.35,1.94,2.12
site9,AT,Region Millstattersee,0,0,0,0,0,0,0,0,0,0
site11,AT,Wasserverband Hofsteig,0.59,1.5,1.48,1.09,1.73,1.48,1.04,1.04,1.44,1.27
site14,BE,Antwerp Zuid,17.17,16.9,14.61,17.35,15.78,22.56,18.09,17.39,17.57,17.5
site16,BE,Brugge,0,0,0,0,0,0,0,0,0,0
site17,BE,Brussels,6.63,7.37,5.92,6.35,7.84,8.9,7.46,7.15,7.25,7.21
site19,BE,Koksijde,0,0,0,0,0,0,0,0,0,0
site22,BE,Oostende,0,0,0,0,0,0,0,0,0,0
site31,CY,Limassol,51.36,47.17,47.18,40.91,38.89,34.57,33.74,44.09,40.39,41.98
site32,CY,Nicosia,22.27,25.47,30.77,37.05,33.51,32.18,23.36,23.7,33.38,29.23
site33,CZ,Brno,104.67,124.9,140.04,110.09,100.7,111.31,110.84,113.47,115.53,114.65
site34,CZ,Budweis,116.77,94.23,91.8,92.69,134.2,155.84,92.82,101.27,118.63,111.19
site38,DE,Berlin (4),17.01,15.18,16.08,18.23,20.13,20.24,19.39,17.19,18.67,18.04
site39,DE,Chemnitz,187.8,175.23,266.09,191.7,231.83,156.49,164.28,175.77,211.53,196.2
site40,DE,Dortmund,5.87,3.02,2.3,1.87,3.68,1.7,2.22,3.7,2.39,2.95
site41,DE,Dresden,175.96,175.17,162.17,238.6,211.01,115.64,143.83,164.99,181.86,174.63
site42,DE,Dülmen,0,0,0,0,0,0,0,0,0,0
site43,DE,Erfurt,237.69,188.67,208.84,241,211.05,202.23,189.38,205.25,215.78,211.26
site49,DE,Munich Gut_Grosslappen,4.45,5.02,5.33,8.24,6.08,4.54,4.29,4.59,6.05,5.42
site52,DE,Saarbrucken (2),2.64,1.87,2.98,2.42,1.61,2.04,1.99,2.16,2.26,2.22
site54,DK,Copenhagen,17.51,11.55,11.6,21.03,17.26,15.58,19.01,16.02,16.37,16.22
site55,ES,Barcelona,46.19,55.22,48.36,50.45,52.73,38.52,43.68,48.36,47.51,47.88
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site57,ES,Madrid VdlV,6.87,6.49,7.46,6.75,9.49,10.9,7.55,6.97,8.65,7.93
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),0.97,0.97,0.77,0.81,0.86,1.07,1.7,1.21,0.88,1.02
site61,FI,Espoo,8.86,6.59,7.38,9.46,9.9,8.66,7.07,7.51,8.85,8.27
site62,FI,Helsinki,19.11,18.52,18.51,22.21,22.96,17.28,14.52,17.38,20.24,19.02
site63,FI,Hämeenlinna,4.51,5.91,5.72,5.29,5.11,4.87,3.55,4.65,5.25,4.99
site64,FI,Joensuu,2.71,1.66,1.87,2.84,2.58,2,3.01,2.46,2.32,2.38
site65,FI,Jyväskylä,47.79,39.4,55.32,54.31,44.89,43.05,38.24,41.81,49.39,46.14
site66,FI,Kajaani,1.8,2.54,2.96,2.43,2.94,4.53,5.47,3.27,3.22,3.24
site67,FI,Kemi,3.16,2.84,2.05,2.44,1.88,1.81,1.73,2.58,2.05,2.27
site68,FI,Kokkola,1.3,1.39,1.58,2.05,1.51,1.65,1.62,1.44,1.7,1.59
site69,FI,Kotka,4.7,4.5,4.08,5.06,6.3,6.65,5.95,5.05,5.52,5.32
site70,FI,Kouvola,11.01,6.87,8.41,11.54,12.07,9.74,7.77,8.55,10.44,9.63
site71,FI,Kuopio,14.95,13.02,27.02,13.81,28.78,39.37,26.93,18.3,27.25,23.41
site72,FI,Lahti,27.55,19.25,25.51,28.46,24.5,14.55,11.21,19.34,23.25,21.58
site73,FI,Lappeenranta,5.73,8.59,9.79,9.37,9.71,8.12,5.37,6.56,9.25,8.1
site74,FI,Mariehamn,0.83,1.13,1.48,0.94,0.86,,1.08,1.02,1.09,1.09
site75,FI,Mikkeli,7.16,7.48,5.51,6.37,6.79,4.97,8.59,7.75,5.91,6.7
site76,FI,Oulu,3.3,2.99,2.67,2.45,2.27,2.3,2.67,2.99,2.42,2.66
site78,FI,Pori,3.73,3.79,4.01,4.03,4.61,3.84,5.13,4.22,4.12,4.16
site80,FI,Rovaniemi,3.51,3.87,4.89,6.49,6.93,7.04,7.31,4.9,6.34,5.72
site82,FI,Savonlinna,2.12,2.21,2.31,2.05,1.8,2.24,4.43,2.92,2.1,2.45
site83,FI,Seinäjoki,4.49,3.85,4.38,4.1,4.5,4.85,3.86,4.07,4.46,4.29
