SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site5,AT,Klosterneuburg,78.99,66.72,122.87,99.68,76.73,85.37,53.34,66.35,96.16,83.39
site13,BE,Antwerp Deurne,473.4,438.05,431.83,534.02,532.4,450.17,402.85,438.1,487.11,466.1
site14,BE,Antwerp Zuid,567.92,576.23,617.49,525.29,744.64,623.65,692.63,612.26,627.77,621.12
site17,BE,Brussels,395.18,405.3,463.7,600.91,609.57,477.93,353.93,384.8,538.03,472.36
site18,BE,Geraardsbergen,42.1,52.5,59.2,59.42,77.4,52.11,46.1,46.9,62.03,55.55
site19,BE,Koksijde,58.45,37.59,35.79,61.58,82.03,45.86,40,45.35,56.32,51.62
site21,BE,Ninove,68.73,76.2,94.25,138.09,120.41,117.07,74.93,73.29,117.45,98.52
site22,BE,Oostende,68.34,63.75,71.08,81.43,115.12,92.67,72.59,68.23,90.08,80.71
site24,CH,Basel,36.02,39.49,38.77,53.47,49.65,39.49,40.66,38.72,45.34,42.51
site25,CH,Berne,217.1,189.01,203.27,323.61,220.2,233.57,215.78,207.3,245.16,228.93
site26,CH,Geneva,412.01,391.03,478.46,589.24,520.95,327.76,379.35,394.13,479.1,442.68
site27,CH,Lausanne,237.43,269.23,341.73,418.02,422.81,254.45,253.79,253.48,359.25,313.92
site28,CH,Lugano,229.84,209.92,240.2,238.9,218.82,226.04,235.7,225.15,230.99,228.49
site29,CH,St. Gallen Hofen,377.48,551.95,717.89,454.45,301.97,267.55,322.87,417.43,435.47,427.74
site30,CH,Zurich,469.99,455.91,518.89,631.57,840.03,410.99,377.86,434.59,600.37,529.32
site31,CY,Limassol,87.64,101.22,100.6,62.55,70.45,63.21,66.92,85.26,74.2,78.94
site32,CY,Nicosia,62.58,78.62,58.87,58.69,52.68,57.7,58.76,66.66,56.98,61.13
site34,CZ,Budweis,4.81,4.37,4.47,9.08,5.63,6.79,3.02,4.07,6.49,5.45
site38,DE,Berlin (4),153.47,146.28,121.89,137.76,224.5,217.94,182.53,160.76,175.52,169.2
site40,DE,Dortmund,267.12,255.26,270.79,330.18,346.82,230.55,227.53,249.97,294.59,275.46
site41,DE,Dresden,6.01,6.23,6.88,8.87,12.62,7.01,7.28,6.51,8.84,7.84
site42,DE,Dülmen,12.65,17.63,22.62,41.91,45.88,23.83,,15.14,33.56,27.42
site49,DE,Munich Gut_Grosslappen,21.63,,15.95,19.37,,25.97,51.11,36.37,20.43,26.8
site54,DK,Copenhagen,338.62,243.32,150.22,243.31,382.82,515.62,486.17,244.05,406.98,337.15
site55,ES,Barcelona,399.72,519.31,450.81,520.32,504.99,410.45,299.31,406.12,471.64,443.56
site56,ES,Castellon,55.6,117.54,303.96,124.64,122.84,81.29,80.64,84.59,158.18,126.64
site58,ES,Molina de Segura,220.46,235.35,173.62,188.84,311.77,276.39,223.03,226.28,237.66,232.78
site59,ES,Santiago,62.32,90.1,121.86,147.08,179.95,201.38,143.01,98.48,162.57,135.1
site60,ES,Valencia (3),255.57,243.95,279.94,469.77,380.28,355.82,371.3,290.27,371.45,336.66
site61,FI,Espoo,4.73,5.3,4.04,9.38,15.17,8.13,8.12,6.05,9.18,7.84
site62,FI,Helsinki,4.34,5.6,7.76,16.39,18.5,10.98,6.2,5.38,13.41,9.97
site84,FI,Tampere,5.49,4.21,4.87,5.9,5.63,5.79,3.53,4.41,5.55,5.06
site85,FI,Turku,0.65,0.95,1.17,0.75,0.74,0.94,0.73,0.78,0.9,0.85
site90,FR,Paris Seine Centre,126.95,146.26,186.04,239.9,192.55,139.87,99.36,124.19,189.59,161.56
site92,GB,Bristol,240.78,247.42,226.93,309.49,500.45,368.89,249.8,238.38,357.16,306.25
site93,GB,London,746.73,777.57,852.38,1238.8,1259.02,824.75,666.79,730.36,1043.74,909.43
site94,GR,Athens,48.43,57.24,68.29,89.56,76.25,48.63,52.8,52.82,70.68,63.03
site96,GR,Mytilene,0.26,0.91,0.19,1.11,9.28,4.3,2.52,1.23,3.72,2.65
site97,GR,Thessaloniki,5.79,7.98,7.57,7.87,9.21,11.83,17.42,10.4,9.12,9.67
site98,HR,Zagreb,92.69,90.69,94.53,102.09,145.14,96.9,81.27,88.22,109.66,100.47
site99,IS,Reykjavik Klettagarðar,51.6,62.01,69.81,50.53,60.45,53.67,56.83,56.81,58.62,57.84
site101,IT,Milan,191.62,171.84,187.85,199.91,217.25,289.45,184.9,183.77,222.88,206.12
site106,MT,Malta,25.67,87.55,68.29,92.09,67.62,66.62,71.27,61.5,73.66,68.45
site107,NL,Amsterdam,251.67,671.98,703.91,990.27,967.26,229.28,677.7,533.78,722.68,641.72
site108,NL,Eindhoven,251.36,89.58,333.75,479.61,569.77,427.87,109.35,150.1,452.75,323.04
site111,NL,Utrecht,184.51,108.95,192.23,255.14,87.07,57.66,151.16,148.21,148.03,148.1
site112,NO,Oslo,66.34,136.18,88.64,239.02,206.99,182.61,140.58,114.37,179.31,151.48
site114,PT,Almada,58.59,57.42,48.48,64.18,73.88,87.09,55.49,54.83,70.16,63.59
site115,PT,Lisbon,231.34,257.38,278.23,308.16,299.3,250.53,225.36,238.03,284.06,264.33
site116,PT,Porto,111.2,83.99,103.26,80.21,56.87,124.67,86.76,93.98,91.25,92.42
site133,SK,Bratislava (2),50.8,44.57,71.35,115.98,76.56,56.44,47.7,47.69,80.08,66.2
site134,SK,Piestany,4.03,3.78,3.92,8.53,11.02,8.01,3.79,3.87,7.87,6.15
