SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site5,AT,Klosterneuburg,16.98,10.99,13.92,16.36,16.94,13.06,8.89,12.29,15.07,13.88
site13,BE,Antwerp Deurne,36.38,76.67,28.98,24.09,31.92,46,26.56,46.54,32.74,38.66
site14,BE,Antwerp Zuid,54.32,61.41,57.27,52.19,129.45,79.8,69.44,61.72,79.67,71.98
site17,BE,Brussels,9.66,8.81,10.32,25.75,60.68,27.59,10.84,9.77,31.08,21.95
site18,BE,Geraardsbergen,4.16,3.17,4.37,11.32,25.14,15.63,8.08,5.13,14.11,10.26
site19,BE,Koksijde,5.11,5.47,3.52,11.14,10.02,10.76,8.52,6.36,8.86,7.79
site21,BE,Ninove,6.19,5.7,7.49,9.96,13.88,15.02,14.83,8.91,11.59,10.44
site22,BE,Oostende,5.98,8.16,7.97,8.05,14.26,11.3,8.56,7.57,10.4,9.18
site24,CH,Basel,7.82,5.28,4.95,2.67,5.16,25.23,15.7,9.6,9.5,9.55
site25,CH,Berne,4.15,3.09,7.16,24.39,27.92,12.92,7.87,5.03,18.1,12.5
site26,CH,Geneva,10.39,10.06,17.01,40.4,50.26,26.83,12.52,10.99,33.63,23.93
site27,CH,Lausanne,12.36,16.27,41.06,82.08,90.49,37.68,20.23,16.29,62.83,42.88
site28,CH,Lugano,2.11,1.46,3.39,9.11,14.08,13.41,10.6,4.72,10,7.74
site29,CH,St. Gallen Hofen,8.22,18.7,35.51,30.97,14.47,6.8,12.85,13.26,21.94,18.22
site30,CH,Zurich,10.44,8.43,13.84,42.58,142.92,46.56,19.56,12.81,61.48,40.62
site31,CY,Limassol,2.02,3.33,3.46,2.17,2.08,1.82,1.56,2.3,2.38,2.35
site32,CY,Nicosia,0.98,3.57,2.84,1.82,1.69,1.73,1.53,2.03,2.02,2.02
site34,CZ,Budweis,2.4,2.32,2.11,2.14,20.16,25.13,9.56,4.76,12.39,9.12
site38,DE,Berlin (4),40.99,31.9,20.89,18.05,42.98,41.47,60.66,48.2,30.84,38.28
site40,DE,Dortmund,9.07,9.32,10.37,23.97,34.05,18.82,10.43,9.61,21.8,16.58
site41,DE,Dresden,3.2,2.34,2.9,4.84,11.83,6.45,4.05,3.2,6.5,5.09
site42,DE,Dülmen,2.71,3.48,3.44,15.72,11.19,5.43,,3.09,8.95,6.99
site49,DE,Munich Gut_Grosslappen,5.58,,2.52,3.69,,8.16,16.26,10.92,4.79,7.24
site54,DK,Copenhagen,53.22,33.54,26.89,24.55,45.66,85.12,102.61,37.88,64.48,53.08
site55,ES,Barcelona,30.85,18.49,20.48,34.74,53.1,51.38,27.71,25.68,39.93,33.82
site56,ES,Castellon,4.17,4.08,3.29,2.54,4.12,3.32,2.87,3.71,3.32,3.48
site58,ES,Molina de Segura,4.27,3.05,2.52,3.47,6.72,4.94,4.57,3.96,4.41,4.22
site59,ES,Santiago,10.61,10.73,11.12,11.24,18.44,19.6,19.18,13.5,15.1,14.42
site60,ES,Valencia (3),3.38,2.9,3.53,8.9,19.41,20.49,10.04,5.44,13.08,9.8
site61,FI,Espoo,8.85,9.03,11.15,82.47,139.18,45.32,16.58,11.48,69.53,44.65
site62,FI,Helsinki,10.12,12.82,16.81,72.63,94.21,41.91,20.44,14.46,56.39,38.42
site84,FI,Tampere,15.34,15.02,19.49,34.82,50.56,49.06,12.85,14.4,38.48,28.16
site85,FI,Turku,5.85,8.38,12.66,36,34.28,23.78,10.1,8.11,26.68,18.72
site90,FR,Paris Seine Centre,1.99,1.98,1.97,42.01,62.12,32.14,1.97,1.98,34.56,20.6
site92,GB,Bristol,25.37,22.89,16.26,34.91,111.76,109.93,50.67,21.51,76.82,53.11
site93,GB,London,44.3,43.96,44.1,42.85,113.43,50.48,45.53,44.6,62.72,54.95
site94,GR,Athens,1.22,1.45,6.28,4.62,6.94,1.77,1.74,1.47,4.9,3.43
site96,GR,Mytilene,0.26,0.96,0.19,0.84,0.8,1.47,1.15,0.79,0.83,0.81
site98,HR,Zagreb,16.05,15.56,11.67,35.66,58.63,33.91,19.46,17.02,34.97,27.28
site101,IT,Milan,2.78,2.98,1.39,3.42,11.81,17.38,7.14,2.38,9.94,6.7
site107,NL,Amsterdam,226.86,93.43,81.17,201.78,318.46,74.84,166.6,162.3,169.06,166.16
site108,NL,Eindhoven,53.99,18.35,67.86,88.63,364.84,289.29,34.37,35.57,202.66,131.05
site111,NL,Utrecht,51.25,19.38,62.89,91.17,78.05,44.55,86.8,52.48,69.16,62.01
site112,NO,Oslo,24.7,30.26,17.68,45.77,46.36,69.27,29.6,28.19,44.77,37.66
site114,PT,Almada,1.88,1.71,1.35,4.44,10.73,16.54,5.54,1.65,9.31,6.03
site115,PT,Lisbon,8.67,6.09,9.12,26.23,68.3,29.1,13.01,9.26,33.19,22.93
site116,PT,Porto,6.15,3.71,3.79,4.85,11.8,33.07,8.52,6.13,13.38,10.27
site133,SK,Bratislava (2),7.02,3.77,4.07,5.8,35.82,24.77,13.03,4.95,19.85,13.47
site134,SK,Piestany,0,0,0,0,0,0,0,0,0,0
